id_expo,nombre_expo,nombre_expo_ano,descripcion_expo,autor_texto,id_autor_texto,documento_ppal,id_documentos_expo,ano_ini,mes_ini,dia_ini,ano_fin,mes_fin,dia_fin,fecha_ini,fecha_fin,duracion_dias,artistas,id_personas_artistas,curadores,id_personas_curadores,presentadores,id_personas_presentadores,nombre_espacio,id_espacio,obras,id_obras,apoyan_auspicia,id_personas_apoyan,id_organizaciones_apoyan,id_img_doc_fk,observaciones_expos,tipo_expo,expo_order
214,Exposición de Barbara Hepworth,Exposición de Barbara Hepworth*1977,,,,,,1977,3,,,,,1977-03-01,1900-01-01,#NUM!,Barbara Hepworth,,,,,,,,,,Consejo Británico,,,,,,216
215,Seis Artistas Premiados en la III Bienal de Artes Gráficas,Seis Artistas Premiados en la III Bienal de Artes Gráficas*1977,,,,d.39,,1977,4,,,,,1977-04-01,1900-01-01,#NUM!,"Édgar Álvarez, David Becker, Juan Fresan, Susy Iglicki, Lucy Tejada,Mario Toral",,"Miguel González, Franz Bader, Darío Ruiz, Pablo Neruda, Bengt Oldenburg, Marta Traba",,,,,,La sabana de contact,3943,Cartón de Colombia S.A.,,,,,,217
216,II Salón Nacional de Arte Jóven ,II Salón Nacional de Arte Jóven *1977,,,,d.11,,1977,7,1,,,,1977-07-01,1900-01-01,#NUM!,"Virginia Amaya, Roberto Angulo, Arbey Arce, Gloria Estela Arriaga, Esperanza Barroso, Gert-Jan Bartelsman, María Elena Bernal, Celia Birbragher, Javier de María Campos, Plinio Carvajal, Guillermo Cuartas, María Eugenia Duque, Beatriz Echeverry, Gustavo Espinosa, Fanny Finkelman, Máximo Flórez, Ethel Gilmour, Juan Ramón Giraldo, María Cristina Gómez, Margarita Gutiérrez, Eduardo Hernández, Gustavo Jaramillo, Joyce Lamassone, Karen Lamassonne, Camilo Lleras, Oswaldo López, Jorge Mantilla Caballero, Fernando Martínez Orozco, Margarita Monsalve, Jorge Montealegre, Jorge Morán, Juan Fernando Ordóñez, Roberto Pizano, Julián Eduardo Posada, Ricardo Potes Vargas, Luis Fernando Puerta, Luis Alfonso Ramírez, Amparo Restrepo, Ángela María Restrepo, Guillermo Restrepo, Édgar Riveral, Jorge Rocha, Iván Darío Roldán, Hernando Rojas, Rodolfo Ruiz, Alberto Saldarriaga, Enrique Sánchez, María Cristina Silva, Gabriel Suárez Bayona, José Antonio Suárez Londoño, Sergio Trujillo, Alberto Uribe, Hernán Uribe, Luis Fernando Valencia, Rodrigo Valencia Quijano, Alicia Viteri, Gustavo Zalamea,Hugo Zapata",,,,,,,,,,Industria de Licores del Valle,,,,,,218
217,Colección Banco Cafetero,Colección Banco Cafetero*1977,,,,,,1977,8,,,,,1977-08-01,1900-01-01,#NUM!,"Gonzalo Ariza, Fernando Botero, Luis Caballero, Julio Castillo, Manuel Estrada, Ignacio Gómez Jaramillo, Pedro Nel Gómez, Carlos Granada, Enrique Grau, José Manuel Groot, Alipio Jaramillo, Hernando Lemaitre, Margarita Lozano Ortiz, David Manzur, Pedro Moreno, María Thereza Negreiros, Alejandro Obregón, Rafael Penagos, Cecilia Porras, Eduardo Ramírez Villamizar, Ómar Rayo, Augusto Rivera, Juan Antonio Roda, Lucy Tejada, Jorge Elías Triana, Gregorio Vásquez de Arce,Ceballos, Armando Villegas,Guillermo Wiedemann",,,,,,,,,,Banco Cafetero,,,,,,219
218,Exposición de grabado yugo-eslavo,Exposición de grabado yugo-eslavo*1977,,,,,,1977,10,7,,,,1977-10-07,1900-01-01,#NUM!,Varios,,,,,,,,,,"Colcultura,Embajada de Yugoslavia",,,,,,220
220,Muestra de escultura colombiana de la Colección de Museo de Arte Moderno La Tertulia 1977,Muestra de escultura colombiana de la Colección de Museo de Arte Moderno La Tertulia 1977*1977,,,,,,1977,11,,,,,1977-11-01,1977-12-16,45,"Édgar Negret, Eduardo Ramírez Villamizar, Carlos Rojas, Hernando Tejada, Feliza Bursztyn, Bernardo Salcedo, Héctor Fabio Oviedo,John Castles",,,,,,,,,,,,,,,,221
219,Segundo Portafolio 8 Artistas Latinoamericanos,Segundo Portafolio 8 Artistas Latinoamericanos*1977,,Maritza Uribe,,d.111,,1977,12,,,,,1977-12-01,1900-01-01,#NUM!,"Susy Iglicki, Luis Molinari-Flores, Emilio Sánchez, lazid Thame, Gabriel Messil, Pablo Obelar, Fernando de Szyszlo, Eduardo Vilches",,,,,,,,,,,,,d32.pdf,,,222
221,Luis Camnitzer y Liliana Porter,Luis Camnitzer y Liliana Porter*1978,,,,d.73,d.19,1978,1,27,,,,1978-01-27,1900-01-01,#NUM!,"Luis Camnitzer, Liliana Porter",,,,,,,,,,,,,,,,223
222,Gabriel Messil,Gabriel Messil*1978,,Irene Vanderpol,,d.61,,1978,2,17,,,,1978-02-17,1978-03-19,30,Gabriel Messil,,,,,,,,,,,,,d205.pdf,,,224
223,Pintura y Escultura Colombiana de los Años 30,Pintura y Escultura Colombiana de los Años 30*1978,,Maritza Uribe de Urdinola,,d.127,,1978,3,10,,,,1978-03-10,1978-05-14,65,"Ricardo Gómez Campuzano, José Domingo Rodríguez, Rómulo Rozo, Luis Alberto Acuña, Ignacio Gómez Jaramillo, Sergio Trujillo Magnenat, Carlos Correa, Gonzalo Ariza, Alipio Jaramillo, Ramón Barba, Rosa de Viterbo, Pedro Nel Gómez,",,Germán Rubiano Caballero,,,,,,"En el barco, El cenáculo de marinilla
","3936, 2137","Carvajal,Coleccionistas privados",,,,,,225
224,Grabadores Norteamericanos,Grabadores Norteamericanos*1978,,"Sylvan Cole, Jr.",,d.69,,1978,5,,,,,1978-05-01,1900-01-01,#NUM!,"Robert Kipniss, Will Barnet, Warrington Colescott, Kenjilao Nanao",,Sylvan Cole,,,,,,"Waiting, History of Printmaking, Night Flower II","2854, 3091, 2856",,,,d215.pdf,,,226
225,Brecht en las Artes Gráficas de la República Democrática Alemana,Brecht en las Artes Gráficas de la República Democrática Alemana*1978,,,,,,1978,7,14,,,,1978-07-14,1900-01-01,#NUM!,Varios,,,,,,,,,,Embajada de la República Democrática Alemana,,,,,,227
227,Acrílicos,Acrílicos*1978,,,,d.74,,1978,9,,,,,1978-09-01,1978-10-16,45,"Antonio Barrera, Ana Mercedes Hoyos",,,,,,,,,,,,,,,,228
226,El Grabado Norteamericano en la Colección del Museo de Arte Moderno La Tertulia,El Grabado Norteamericano en la Colección del Museo de Arte Moderno La Tertulia*1978,,Maritza Uribe de Urdinola . Pat Gilmour,,d.53,,1978,10,,,,,1978-10-01,1900-01-01,#NUM!,"Leonard Baskin, Herbert Bayer, David Becker, Alexander Calder, Warrington Colescott, Allan D'Arcangelo, Wi llem DE Kooning, Jim Dine,Sam Francis, John Paul Jones, Ellsworth Kelly, Robert Kipniss, Roy Lichtenstein, Richard Linder, John McLaughlin, Peter Milton, Robert Motherwell, Kenjilo Nanao, Robert Nelson, Louise Nevelson, Thom O'Connor, Henry Pearson, Robert Rauschenberg, Saul Steinberg, Ernest Trova, Andy Warhol, William Weege",,,,,,,,,,Centro de Arte Actual,,,d195.pdf,,,229
228,Fotografía Colombiana,Fotografía Colombiana*1978,,,,d.75,,1978,12,15,,,,1978-12-15,1900-01-01,#NUM!,"Fernell Franco, Germán Tellez, Hernán Díaz, Rafael Moure, Abdu Eljaiek, Sergio Trujillo Dávila, Camilo Lleras, Jaime Ardila, Carlos Caicedo, Nereo López, Efraín García, Fabio Serrano, Ramón Giovanni, Jorge Mario Múnera, Ignacio Gómez Jaramillo, Luis Fernando Valencia, Sergio Trujillo Jaramillo, Efraín Cardenas, François Dolmetsch, Gert-Jan Bartelsman,Patricia Uribe",,,,,,,,,,Industria de Licores del Valle,,,,,,230
229,Richard Smith,Richard Smith*1979,,Eduardo Serrano,,d.124,,1979,2,16,,,,1979-02-16,1900-01-01,#NUM!,Richard Smith,,,,,,,,,,,,,,,,231
230,Obregon,Obregon*1979,,"Jose Puben, Maritza Uribe de Urdinola",,d.129,,1979,4,6,,,,1979-04-06,1900-01-01,#NUM!,Alejandro Obregón,,,,,,,,,,Byron López,,,,,,232
231,Exposición conmemorativa de los 23 años de vida del Museo de Arte Moderno La Tertulia,Exposición conmemorativa de los 23 años de vida del Museo de Arte Moderno La Tertulia*1979,,,,,,1979,5,31,,,,1979-05-31,1979-08-14,75,Varios,,,,,,,,,,,,,,,,233
232,Helen Frankenthaler,Helen Frankenthaler*1979,,Andrew Forge,,d.125,,1979,7,10,,,,1979-07-10,1900-01-01,#NUM!,Helen Frankenthaler,,,,,,,,,,"Centro Colombo-americano de Cali,Agencia de Comunicación Internacional de los Estados Unidos",,,,,,234
233,"Ever Astudillo, Fernell Franco, Óscar Muñoz","Ever Astudillo, Fernell Franco, Óscar Muñoz*1979",,"Sebastián Romero Buj, Eduardo Serrano, Miguel González, Alvaro Medina",,d.126,,1979,9,14,,,,1979-09-14,1900-01-01,#NUM!,"Ever Astudillo, Fernell Franco,Óscar Muñoz",,,,,,,,"De la Serie: De la noche, De la serie: Bicicletas, De la serie: Interiores, De la serie: Las prostitutas, De la serie: Interiores, De la serie: Interiores","2143, 2200, 2201, 2216, 2217, 3145",Instituto Colombiano de Cultura,,,,,,235
234,Baila Mécanica,Baila Mécanica*1979,,Marta Traba,,d.20,,1979,11,23,,,,1979-11-23,1979-12-28,35,Feliza Bursztyn,,,,,,,,,,Focus- analésico,,,d159.pdf,,,236
235,Oleos litografías Robert Kipniss,Oleos litografías Robert Kipniss*1980,,,,d.123,,1980,1,,,,,1980-01-01,1900-01-01,#NUM!,Robert Kipniss,,,,,,,,,,,,,,,,237
236,La Mujer En Las Artes Visuales,La Mujer En Las Artes Visuales*1980,,Miguel Gonzalez,,d.49,,1980,2,,,,,1980-02-01,1900-01-01,#NUM!,"Olga Amaral, Myrna Báez, Corina Briceño, Marietta Berman, Gracia Barrios, Edith Behring, Ruth Bessoudo Courvoisier, Roser Bru, Feliza Bursztyn,Teresa Cuéllar, Delia Cugat, Beatriz Daza, Geny Dignac, Helen Escobedo, Raquel Forner, Vera Frenkel, Gertrud Goldschmidt, Anna Bella Geiger, Beatriz González, Leonilda González, Susan Hudson, Susy Iglicki, María de la Paz Jaramillo, Ana María Mazzei, Gladys Meneses, Anne Meredith Barry, Margarita Monsalve, María Thereza Negreiros, Louis Nevelson, Luisa Palacios, Gina Pellón, Liliana Porter, Anna Letycia Quadros, Louise Richter, Emma Reyes, Margot Römer, Nunik Sauret, Lucy Tejada,Mariana Varela",,,,,,,,"Nubarrones en barrazas, Sin Título, Samuel...interrogué a Yahvé en mi angustia y a sus oídos llegó, Pueblo, Amazonía, Sonho da preguica, Tatu Durminhooco, Desquiciados, Personaje, Remorir I, Estrella de mar, Sin título, Magníficamente solo, Marchando, Relieve, Urano II, Muro musical, Laberinto astral, Open studio poster, Carta, Certo-errado, Los suicidas del sisga, Happy Birthday, La otra cara de ludwig Van... , Lesa majestad, Actualidad ilustrada, Mi lucha, Los reveces de la realeza, Jacqueline Oasis, La iglesia está en peligro, Caballos II, Prisma, Perspectiva de un abrazo, Sin Título, Una noche más 2, Señora Macbeth I, Señora Macbeth II,  Señora Macbeth III,  Señora Macbeth IV, La dueña I, La dueña II, La dueña III, La voz dorada, María de los guardias I, María de los guardias II, Mitos y leyendas del olvido IV, en-sobre-entredos realidades, Indian summer, Sín Título, Batalla de Hierro y de Hombres, Recuerdos de un antepasado(Tía Catalina), Dusk in August, Sky Shadow, Sín Título No.6, Sombra amante, Cuerpos de Claridad, Jeune Fille, Afiche para el movimiento por la paz en Estados Unidos, Caracol vermelho, Diálogos de sombras, El mar muerto, Voces Confundidas, Sín Título, Sín Título, Color de rosa, Muro, serie de los jardines prohíbidos, Sín Título.","2883, 2737, 2820, 2624, 2571, 2562, 2702, 2604, 2692, 2130, 2309, 2119, 2644, 2865, 1903, 2310, 2579, 2567, 2001, 2670, 2759, 3935, 2926, 2784, 3348, 2780, 2783, 2782, 3418, 2779, 2852, 2765, 2831, 2844, 2924, 2957, 2958, 2609, 2648, 2716, 2717, 2718, 2776, 2979, 2980, 2837, 2700, 2908, 2891, 3913, 2306, 2506,  2674, 2758, 2586, 2585, 2868, 2558, 2699, 2701, 3917, 2713, 3028, 2134, 3922, 2141, 2132, 2131",,,,d189.pdf,,,238
237,Arte de los 80,Arte de los 80*1980,,,,,,1980,3,20,,,,1980-03-20,1900-01-01,#NUM!,"Adolfo Bernal, Javier Barrios, Alicia Barney, Antonio Caro, Rodrigo Castaño, Fernando Cepeda, Ramiro Gómez, Luis Fernando García, Álvaro Herazo, Eduardo Hernández, Raúl Marroquín, Sara Modiano, Geo Ripley, María Rodríguez, Jorge Ortiz, Víctor Sánchez, Argemiro Vélez, Jorge Mario Gómez, Patricia Gómez,Fabio Antonio Ramírez",,Álvaro Barrios,,,,,,,,Secretaría de Educación del Valle del Cauca,,,,,,239
238,Fotografías Francois Dolmetsch,Fotografías Francois Dolmetsch*1980,,,,d.122,,1980,4,18,,,,1980-04-18,1900-01-01,#NUM!,François Dolmetsch,,,,,,,,,,,,,,,,240
239,Juan Camilo Uribe Telescopios y Álvaro Barrios Sueños con Marcel Duchamp,Juan Camilo Uribe Telescopios y Álvaro Barrios Sueños con Marcel Duchamp*1980,,"Eduardo Serrano, William Zimmer, John Stringer",,d.120,d.108,1980,5,9,,,,1980-05-09,1900-01-01,#NUM!,"Juan Camilo Uribe, Álvaro Barrios",,,,,,,,,,Secretaría de Educación de Cali,,,d29.pdf,,,241
240,1960–1980 Alcántara,1960–1980 Alcántara*1980,,"Maritza Uribe de Urdinola, Alvaro Medina, Marta Traba, Beatriz Viggiani, Miguel González",,d.121,,1980,6,11,,,,1980-06-11,1980-08-10,60,Pedro Alcántara Herrán,,Miguel González,,,,,,"Son sombras de guerreros, El martirio agiganta a los hombres-raíz, San cualquiera, Asi son los héroes I, Así son los héroes II, Retrato de un guerrero I, Homenaje a George Jackson, La danza de la muerte, Sin título","2113, 2114, 2322, 2607, 2608, 2610, 2643, 2775",,,,,,,242
241,Serie Amazónica,Serie Amazónica*1980,,"Maritza Uribe de Urdinola, Marta Traba, Miguel González, Gloria Ines Daza",,d.78,,1980,9,19,,,,1980-09-19,1980-10-29,40,María Thereza Negreiros,,,,,,,,"Las quemas, Selva #2","3215, 3947",,,,d218.pdf,,,243
242,María de la Paz Jaramillo y Óscar Jaramillo,María de la Paz Jaramillo y Óscar Jaramillo*1980,,"Maritza Uribe de Urdinola, Luis Camnitzer, Darío Ruiz Gómez",,d.119,,1980,11,14,1980,,,1980-11-14,1980-12-29,45,"María de la Paz Jaramillo,Óscar Jaramillo",,,,,,Todas las salas,,,,Industria de Licores del Valle,,,,,,244
243,IV Bienal Americana de Artes Gráficas,IV Bienal Americana de Artes Gráficas*1981,,,,d.141,d.57,1981,4,10,,,,1981-04-10,1900-01-01,#NUM!,"Jorge Canale, Aída Caraballo, Américo Castilla, Hugo de Marziani, Walter Kohler, Liliana Porter, Lydia Mabel Rubli , Rodolfo Abularach, Moisés Barrios, Luis Díaz , Carmen Aldunate, Mario Toral, Carlos Altamirano, Demesio Antúnez, José Balmes, Gracia Barrios, Roser Bru, Eugenio Dittborn, Ernesto Fontesilla, Carlos Gallardo, Felipe Herrera, Carlos Leppe, Raúl Sotelo Sotomayor , Jim Amaral, David Becker, Ivan Chermayeff, Warrington Colescott, Steven Cortright, Sheilla de Breteville, Milton Glaser, Juan Gómez Quiroz, John Grillo, Michael Hicks, Robert Kipniss, Karen Lamassonne, Mauricio Lasansky, Tomas Lasasnsky, Leonard Lehrer, Rusell K. Leong, Martin Levine, Bruce McCombs, Peter Milton, George Miyasaki, Frances Myers, Jim Nawara, Gabor Peterdi, Rudy Pozzatti, Charles Roth, Edward  Ruscha, Masaaki Sato, Steven Sorman, Sandy Walker, Lance Wyman ,Guillermo Trujillo, Antonio Alvarado, Ricardo Raúl Ceville, Julio Augusto Zachrisson , Pedro Alcántara Herrán, Claudio Arango, Ever Astudillo, Antonio Barrera, Álvaro Barrios, Javier Iván Barrios, María Elena Bernal, Luis Caballero, Carlos Alberto Caicedo, Manuel Camargo, Juan Cárdenas, Santiago Cárdenas, José Claroz, Heriberto Cogollo, David Consuegra, Federman Contreras, Cecilia Coronel, María Cristina Cortés, Fabio Daza, Carlos Delgado, Hernando del Villar, Dioscórides, Odorico Doglioni, Carlos Duque, María Eugenia Duque, Ana de Durán, María Victoria Durán, Carlos Echeverry, Billy Escobar, Mercedes Amelia Escobar, Rodrigo Fernández, Umberto Giangrandi, Aníbal Gil, Patricia Gómez, Leonel Góngora, Beatriz González, Mario Gordillo, Antonio Grass, Álvaro Herazo, Enrique Hernández, Beatriz Jaramillo, Lorenzo Jaramillo, Luciano Jaramillo, María de la Paz Jaramillo, Carlos Lersundy García, Ángel Loochkartt, Francisco López, Hernán Lozano, Juan Manuel Lugo, Jorge Enrique Madriñán, Jorge Mantilla Caballero, Álvaro Marín Vieco, Alfonso Mateus Ortega, Jaime Mendoza, Uldarico Minotta, Pedro Miranda, Elena Mogollón, Óscar Muñoz, Luis Paz, Luis Fernando Peláez, Roberto Pizano, Rómulo Polo Flórez, Alnfonso Quijano, Francisco Ramírez, Luis Alfonso Ramírez, Saturnino Ramírez, Pedro Ramos, Ómar Rayo, Augusto Rendón, Emma Reyes, Alberto Rincón, Natalia Rivera, Mónica Meira, Francisco Rocca-Lynn, Ofelia Rodríguez, Hernando Rojas, Ana María Rueda, Bernardo Salcedo, Helio Salcedo, Silvia Salgado, Luigi Sandri, Urs Joaquín Schmid, Alberto Sierra Maya, Édgar Silva, Margarita Tamayo, Hernando Tejada, Lucy Tejada, José Urbach, Gloria Uribe, Luis Fernando Valencia, Ramón Vanegas, Mary Anne Vaughan, Alicia Viteri, Gustavo Zalamea, Elsa Zambrano, Hugo Zapata, Nirma Zárate , Humberto Aquino, German Braun, Anselmo Carrera Rojas, Miguel Ángel Espinoza, Carlos Alberto González, Hernán Pazos, José Tola, Esther Vainstein , Gesner Armand, Marie Jose Gardere, Jean Rene Jerome, Antonio Joseph, Patrick Vilaire , Max Aruquipa, Hugo Rojas , Pierre Ayot, Kenneth Caplan, Miljenko Horvat, Michael Leclair, William John Laing, George Raab, Serge Tousignant , Myrna Báez, Lorenzo Homar, Antonio Martorell, Félix Beltrán, Toa Castellanos, Joaquín Ferrer, Flavio Garciandía, Raúl Milián,Wifredo Lam, René Portocarrero, Mariano Rodríguez , Nadia Benatar, Susy Dembo, Alexis Gorodine, Felipe Herrera, Saúl Huerta, Susy Iglicki, Gladys Meneses, Luis Adrián León, Antonio Lazo, Barry Ian Laughlin, Francisco Quilici, Édgar Sánchez , Luis Camnitzer, Raúl Cattelani, Isabel Easton, Naúl Ojeda, Mario Sagradini, Luis Alberto Solari, Lily Salvo , Alberto Castro Leñero, Eduardo Cohen, Vita Giorgi, Carlos García Estrada, Manuel Marín, Ismael Martínez Guardado, Aristides Mateos, Germán Montalvo, José Luis Vicent, María Shelley, Nunik Sauret, Ivone Couto, Arlindo Daibert Amaral, Liliane Dardot, Paulo Tibirica de Andrade, León Ferrari, Jair Glass, Carmela Gross, Odetto Guersoni, Marlene Hori, Carlos Evandro Jardim, Wilma Martins, Massau Nakakubo, Ricardo Ohtake, Gerty Sarue, Mira Schendel, Regina Silveira, José Braz, Uzuelle de Morais , Washigton Eduardo Iza, Ramiro Jácome, Nelson Román, Nicolás Svistoonoff , Bernardo Krasnianski,Michel Vandame Blond",,,,,,,,,,,,,d200.pdf,,,245
245,Exposición Mail-art,Exposición Mail-art*1981,,,,,,1981,9,,,,,1981-09-01,1900-01-01,,Varios,,,,,,,,,,,,,,,,246
244,Jónier Marín,Jónier Marín*1981,,,,d.135,,1981,9,4,,,,1981-09-04,1981-10-24,50,Jonier Marín,,,,,,Taller-escuela,,,,,,,,,,247
246,Decoración de Interiores,Decoración de Interiores*1981,,,,,,1981,11,6,,,,1981-11-06,1900-01-01,,Beatriz González,,,,,,,,,,,,,,,,248
247,Manuel Hernández,Manuel Hernández*1981,,Roberto Guevara  ,,d.130,,1981,11,20,,,,1981-11-20,1981-12-30,40,Manuel Hernández,,,,,,,,Signo ronda,2162,Industria de Licores del Valle,,,,,,249
248,Primera Expomarca Latinoamericana,Primera Expomarca Latinoamericana*1982,Logos de diferentes paises latinoamericanos de diseño gráfico,,,d.132,,1982,1,19,,,,1982-01-19,1900-01-01,,"Estudio Canovas, González Ruiz & Asoc., Estudio Shakespear, Joao Roberto Nascimento, P.V.D.I., Alexander Wollner, Dicken Castro, David Consuegra, Multidiseño-Multidesign, Félix Beltrán, Jorge Fornes, Dagoberto Marcelo, Luis Almeida, Ernesto Lehfeld, Fay Medina, José Bracamonte, Claude Dieterich, Pedro Guimoye, Gerd Leufert, Nedo M.F.,Álvaro Sotillo",,,,,,Galería-Taller,,,,"Expo-marca Latinoamericana,Seccional Cali de la Sociedad Colombiana de Arquitectos",,,,,,250
249,La Tauromaquia,La Tauromaquia*1982,,,,,,1982,2,11,,,,1982-02-11,1982-03-13,30,Juan Antonio Roda,,,,,,Sala de Exposiciones Rotatorias,,,,,,,,,,251
250,Artistas Modernos como Ilustradores,Artistas Modernos como Ilustradores*1982,,,,,,1982,2,18,,,,1982-02-18,1982-03-20,30,"Juan Gris, Pablo Picasso, Joan Miró , Jacques Villon, Henri Matisse, Georges Rouault, Andre Derain, Fernand Léger, Henri Laurens, Jean Arp, Yves Tanguy, Max Ernest , Günther Uecker, Ernest Ludwing Kirchner, Max Beckmann , Marc Chagall , Giorgio de Chirico , David Hockney, Henry Moore , Roberto Sebastián Matta, Walass Ting, Andy Warhol, Jim Dine, Robert Indiana, Sam Francis, Robert Motherwell, Jasper Johns, Sol Lewitt ,Marchel Broodthaers",,,,,,Sala de Exposiciones Rotatorias,,,,"FES,Museo de Arte Moderno de Nueva York",,,,,,252
251,Los Caminos del Bien y del Mal,Los Caminos del Bien y del Mal*1982,,"Bary schwartz, Terry Allen, Juan José Gurrola",,d.59,,1982,4,1,,,,1982-04-01,1982-05-31,60,Leonel Góngora,,,,Darío Ruíz Gómez,,Galería-Taller,,,,,,,d203.pdf,,,253
253,Santiago Cárdenas,Santiago Cárdenas*1982,,"Gloria Valencia Diago, María Ramirez, Ralph Phillips, José María Moreno Galvan, Lawrence alloway, Helen L. Kohen",,d.133,,1982,6,,,,,1982-06-01,1982-07-16,45,Santiago Cárdenas,,,,,,Galería-Taller,,"El rincón,El","3949, 2597",,,,,,,254
252,Exposición de Pablo Obelar,Exposición de Pablo Obelar*1982,,,,,,1982,6,4,,,,1982-06-04,1900-01-01,#NUM!,Pablo Obelar,,,,,,Sala de Exposiciones Rotatorias,,,,,,,,,,255
254,Emilio Sánchez,Emilio Sánchez*1982,,,,,,1982,7,22,,,,1982-07-22,1900-01-01,#NUM!,Emilio Sánchez,,,,,,Galería-Taller,,,,,,,,,,256
255,Consagrados Maestros Jóvenes,Consagrados Maestros Jóvenes*1982,,"Jose Ramiro Martinez, Miguel Gonzalez, Mario Rivero",,d.35,,1982,9,8,,,,1982-09-08,1900-01-01,#NUM!,"Ever Astudillo, Óscar Muñoz, Saturnino Ramírez,Miguel Ángel Rojas",,,,,,Sala de Exposiciones Rotatorias,,,,,,,d174.pdf,,,257
258,Gráfica Contemporanea de la Republica Democrática Alemana,Gráfica Contemporanea de la Republica Democrática Alemana*1982,,"Peter Pachnicke, Christa Kühne ",,d.51,,1982,10,,,,,1982-10-01,1900-01-01,#NUM!,"lngo Arnold, Falko Behrendt, Fritz Cremer, Andreas Dress, Bernhard Heisig, Rainer Herold, Karl-Georg Hirsch, Joachim Jansong, Joachim John, Wolfgang Mattheuer, Rolf Muenzner, Nuria Quevedo, Arno Rink, Wilhelm Rudolph, Herbert Sandberg, Juergen Schieferdecker, Willi Sitte, Volker Stelzmann, Eva Vent, Arno Mohr",,,,,,Sala de la Colección-Maritza Uribe de Urdinola,,,,,,,d192.pdf,,,258
257,Alexis Gorodine,Alexis Gorodine*1982,,Eduardo Serrano,,d.131,,1982,10,14,,,,1982-10-14,1900-01-01,#NUM!,Alexis Gorodine,,,,,,Sala de la Colección-Maritza Uribe de Urdinola,,,,,,,,,,259
260,Delia Cugat,Delia Cugat*1982,,Maritza Uribe,,d.137,,1982,11,,,,,1982-11-01,1900-01-01,#NUM!,Delia Cugat,,,,,,Galería-Taller,,,,,,,,,,260
256,Yutaka Toyota,Yutaka Toyota*1982,,Marc Berkowitz,,d.134,,1982,11,22,,,,1982-11-22,1900-01-01,#NUM!,Yutaka Toyota,,,,Oscar Niemeyer,,Galería-Taller,,,,,,,,,,261
259,Muestra de arte figurativo latino-americano,Muestra de arte figurativo latino-americano*1982,,,,,,1982,12,,,,,1982-12-01,1900-01-01,#NUM!,Varios,,,,,,Galería-Taller,,,,,,,,,,262
262,Actitudes Plurales,Actitudes Plurales*1983,,Miguel González,,d.23,,1983,1,,,,,1983-01-01,1900-01-01,#NUM!,"Marta Lacorazza, Jorge Drosten, Julián Castellanos, Becky Mayer, Patricia Bonilla, Julián Posada, Alicia Barney, Beatriz Jaramillo, Camilo Velásquez",,Miguel González,,,,Sala de la Colección-Maritza Uribe de Urdinola,,La Cándida Eréndida en la casa dde su abuela desalmada el día anterior al incendio,2215,Propal,,,d162.pdf,,,263
261,Exposición de Fernando de Szyszlo,Exposición de Fernando de Szyszlo*1983,,,,,,1983,1,20,,,,1983-01-20,1900-01-01,#NUM!,Fernando de Szyszlo,,,,,,Sala de Exposiciones Rotatorias,,,,,,,,,,264
263,Geometría e Ilusión,Geometría e Ilusión*1983,,,,,,1983,3,,,,,1983-03-01,1900-01-01,#NUM!,"Ary Brizzi, Geny Dignac, Julio Le Parc, Eduardo Mac Entyre, Gabriel Messil, Rogelio Polesello, Carlos Cruz-Diez, Gertrud Goldschmidt, Mateo Manaure, Alejandro Otero, Jesús Soto,Víctor Varela",,Miguel González,,,,,,,,,,,,,,265
264,Exposición de Bruno Bruni,Exposición de Bruno Bruni*1983,,,,,,1983,3,3,,,,1983-03-03,1900-01-01,#NUM!,Bruno Bruni,,,,,,Sala de la Colección-Maritza Uribe de Urdinola,,,,,,,,,,266
265,Seis Maestros Cubanos,Seis Maestros Cubanos*1983,,Miguel González,,d.144,,1983,3,25,,,,1983-03-25,1983-05-24,60,"Wifredo Lam, Amelia Peláez, René Portocarrero, Mariano Rodríguez, Raúl Milián,Ernesto González Puig",,,,,,Galería-Taller,,"ochosi,De la Serie de las: FLORAS,Gallo,De la Serie: CARNAVAL, De la Serie: CARNAVAL, De la Serie: FLORA, composición, sin título, sin título","3083,2839,3084,3085","Fondo Cubano de Bienes Culturales,Corporación Pro-gráfica de Cali",,,,,,267
266,Kunito Nagaoka,Kunito Nagaoka*1983,,Miguel González,,d.50,,1983,4,7,,,,1983-04-07,1900-01-01,#NUM!,Kunito Nagaoka,,,,,,Sala de Exposiciones Rotatorias,,,,,,,d191.pdf,,,268
267,Carmen Aldunate,Carmen Aldunate*1983,,Mario Toral,,d.79,,1983,4,14,,,,1983-04-14,1900-01-01,#NUM!,Carmen Aldunate,,Waldemar Sommer,,,,Galería-Taller,,,,,,,d219.pdf,,,269
268,Sergio Camporeale,Sergio Camporeale*1983,,,,,,1983,5,19,,,,1983-05-19,1900-01-01,#NUM!,Sergio Camporeale,,,,,,Sala Alterna,,,,,,,,,,270
269,Fotografismo,Fotografismo*1983,,Bernardo Salcedo,,d.140,,1983,5,31,,,,1983-05-31,1900-01-01,#NUM!,Carlos Duque,,,,,,Sala de la Colección-Maritza Uribe de Urdinola,,,,,,,,,,271
