id_expo,nombre_expo,nombre_expo_ano,descripcion_expo,autor_texto,id_autor_texto,documento_ppal,id_documentos_expo,ano_ini,mes_ini,dia_ini,ano_fin,mes_fin,dia_fin,fecha_ini,fecha_fin,duracion_dias,artistas,id_personas_artistas,curadores,id_personas_curadores,presentadores,id_personas_presentadores,nombre_espacio,id_espacio,obras,id_obras,apoyan_auspicia,id_personas_apoyan,id_organizaciones_apoyan,id_img_doc_fk,observaciones_expos,tipo_expo,expo_order
105,Ómar Rayo,Ómar Rayo*1966,,,,,,1966,6,20,,,,1966-06-20,1900-01-01,#NUM!,Ómar Rayo,,,,,,Casona San Antonio,,,,,,,,,,105
106,Gerardo Ravassa,Gerardo Ravassa*1966,,,,,,1966,7,8,,,,1966-07-08,1900-01-01,#NUM!,Gerardo Ravassa,,,,,,Casona San Antonio,,,,,,,,,,106
107,Exposición de pintura infantil,Exposición de pintura infantil*1966,,,,,,1966,7,22,,,,1966-07-22,1900-01-01,#NUM!,Varios,,,,,,Casona San Antonio,,,,,,,,,,107
108,Jan Bartelsman,Jan Bartelsman*1966,,,,,,1966,9,9,,,,1966-09-09,1900-01-01,#NUM!,Jan Bartelsman,,,,,,Casona San Antonio,,,,,,,,,,108
109,Enrique Grau,Enrique Grau*1966,,,,,,1966,11,9,,,,1966-11-09,1900-01-01,#NUM!,Enrique Grau,,,,,,Casona San Antonio,,,,,,,,,,109
110,Mario Abreu,Mario Abreu*1966,,,,d.114,,1966,11,18,1966,11,30,1966-11-18,1966-11-30,12,Mario Abreu,,,,,,Casona San Antonio,,,,,,,d35.pdf,,,110
111,Exposición de artesanía,Exposición de artesanía*1966,,,,,,1966,12,6,,,,1966-12-06,1900-01-01,#NUM!,Varios,,,,,,Casona San Antonio,,,,,,,,,,111
112,Aurora Brown,Aurora Brown*1966,,,,,,1966,12,19,,,,1966-12-19,1900-01-01,#NUM!,Aurora Brown,,,,,,Casona San Antonio,,,,,,,,,,112
113,Maria Thereza Negreiros,Maria Thereza Negreiros*1967,,,,d.210,,1967,1,20,1967,2,2,1967-01-20,1967-02-02,13,María Thereza Negreiros,,,,,,Casona San Antonio,,,,,,,d54.pdf,,,113
114,Lucy Tejada,Lucy Tejada*1967,,,,d.215,,1967,2,25,,,,1967-02-25,1900-01-01,#NUM!,Lucy Tejada,,,,,,Casona San Antonio,,,,,,,d59.pdf,,,114
115,Nereo López,Nereo López*1967,,,,,,1967,4,7,,,,1967-04-07,1900-01-01,#NUM!,Nereo López,,,,,,Casona San Antonio,,,,,,,,,,115
116,Alejandro Obregón,Alejandro Obregón*1967,,,,d.211,,1967,7,22,,,,1967-07-22,1900-01-01,#NUM!,Alejandro Obregón,,,,,,Casona San Antonio,,,,,,,d55.pdf,,,116
117,Luis Caballero,Luis Caballero*1967,,Marta Traba,,d.212,,1967,9,29,,,,1967-09-29,1900-01-01,#NUM!,Luis Caballero,,,,,,Casona San Antonio,,,,,,,d56.pdf,,,117
118,Jan Bartelsman,Jan Bartelsman*1967,,Gonzalo Mallarino,,d.490,,1967,10,20,,,,1967-10-20,1900-01-01,#NUM!,Jan Bartelsman,,,,,,Casona San Antonio,,,,,,,,,,118
825,Alberto Cogno,Alberto Cogno*1967,,,,d.485,,1967,10,24,,,,1967-10-24,1900-01-01,#NUM!,Alberto Cogno,,,,,,,,,,,,,,,,119
125,Irma Constanzo,Irma Constanzo*1967,,,,,,1967,11,7,,,,1967-11-07,,,Irma Constanzo,,,,,,,,,,,,,,,,120
119,Manzur,Manzur*1967,,Marta Traba,,d.213,,1967,11,17,,,,1967-11-17,1900-01-01,#NUM!,David Manzur,,,,,,Casona San Antonio,,,,,,,d57.pdf,,,121
120,Exposición de artesanía,Exposición de artesanía*1967,,,,d.489,,1967,12,1,,,,1967-12-01,1900-01-01,#NUM!,"Carmenza Ángel, Gloria de Arellano, Giovanna De Sanctis, Sandra de González, Marlene Hoffmann, Miky Bartelsman, Julia de Quintero, Sonia de Zúñiga,Piry de Patiño",,,,,,Casona San Antonio,,,,,,,,,,122
121,Isabel Cuervo Casabianca,Isabel Cuervo Casabianca*1967,,Marta Traba,,d.214,,1967,12,1,1967,12,10,1967-12-01,1967-12-10,9,Isabel Cuervo Casabianca,,,,,,Casona San Antonio,,,,,,,d58.pdf,,,123
122,Mario Gordillo,Mario Gordillo*1968,,,,d.302,,1968,2,2,,,,1968-02-02,1900-01-01,#NUM!,Mario Gordillo,,,,,,Casona San Antonio,,,,,,,d63.pdf,,,124
123,Exposición de alumnas de la Academia Martenot,Exposición de alumnas de la Academia Martenot*1968,,,,,,1968,3,15,,,,1968-03-15,1900-01-01,#NUM!,Varios,,,,,,Sala única,,,,,,,,,,125
124,VIII Festival Nacional de Arte - I Salón Austral y Colombiano de Pintura,VIII Festival Nacional de Arte - I Salón Austral y Colombiano de Pintura*1968,,Marta Traba,,d.300,,1968,6,,,,,1968-06-01,1900-01-01,#NUM!,"Víctor Chab, Ary Brizzi,Ernesto Deira, Jorge Demirjian, Fernando Maza, Rubens Gerchman, Abraham Palatnik, Glauco Rodriguez, Danilo Di Preti, Carlos Vergara, Roser Bru, Jose Balmes, Delia del Carril, Guillermo Núñez, Rodolfo Opazo, Agustín Alamán, Vicente Martin, Jorge Paez, Giancarlo Puppo, Pedro Alcántara Herrán, Jan Bartelsman, Fernando Botero, Luis Caballero, Santiago Cárdenas, Beatriz Daza, Beatriz González, Enrique Grau, Sonia Gutiérrez, Mario Gordillo, Alberto Gutiérrez, Manuel Hernandez, Luciano Jaramillo, Juan Manuel Lugo, David Manzur, Alfonso Mateus, Norman Mejía, María Thereza Negreiros, Alejandro Obregón, Emma Reyes, Ómar Rayo, Augusto Rivera, Antonio Roda, Carlos Rojas, Bernardo Salcedo, Lucy Tejada, Hernando Tejada, Armando Villegas",,,,,,Sala única,,,,"Presidencia de la República de Colombia, Ministerio de Relaciones Exteriores, Festival Nacional de Arte",,,d61.pdf,,,126
126,Santiago Cárdenas,Santiago Cárdenas*1968,,,,d.305,,1968,9,27,,,,1968-09-27,1900-01-01,#NUM!,Santiago Cárdenas,,,,,,Sala única,,,,,,,d66.pdf,,,127
127,León Ricaurte,León Ricaurte*1968,,,,d.304,,1968,10,22,,,,1968-10-22,1900-01-01,#NUM!,León Ricaurte Miranda,,,,,,Sala única,,,,,,,d65.pdf,,,128
128,Arte Virreinal Americano,Arte Virreinal Americano*1968,,,,d.301,,1968,11,,,,,1968-11-01,1900-01-01,#NUM!,"Gregorio Vázquez y Ceballos, Joaquín Gutiérrez, Anónimo.",,,,,,Sala única,,,,Mario Laserna,,,d62.pdf,,,129
129,Exposición de artesanía,Exposición de artesanía*1968,,,,,,1968,12,3,,,,1968-12-03,1968-12-13,10,Varios,,,,,,Sala única,,,,Oficina de Turismo del Valle del Cauca,,,,,,130
