nombre_institucion,id_organizaciones,ano_constitucion,ano_cierre,financiacion,sectores,pais,id_imagen_logo_fk
Presidencia de la República de Colombia,352,,,,,,
Pro-Helevetia de Suiza,353,,,,,,
Proartes,354,,,,,,
Proimágenes Colombia,355,,,,,,
Propal,356,,,,,,
Propal S.A.,357,,,,,,
Propersa,358,,,,,,
Pueblito Valluno,359,,,,,,
Quaker,360,,,,,,
Regional Valle de la Sociedad Colombiana de Arquitectos,361,,,,,,
Ron Premium,363,,,,,,
Sanamed Duo,366,,,,,,
Santiago Eder,367,,,,,,
Seccional Cali de la Sociedad Colombiana de Arquitectos,368,,,,,,
Seccionales Bogotá y Cundinamarca de la Sociedad Colombiana de Arquitectos,369,,,,,,
Secretaría de Cultura de Buenos Aires,370,,,,,,
Secretaría de Cultura y Turismo de Cali,371,,,,,,
Secretaría de Cultura y Turismo del Valle del Cauca,372,,,,,,
Secretaría de Educación de Cali,373,,,,,,
Secretaría de Educación del Valle del Cauca,374,,,,,,
SENA,375,,,,,,
Sidoc,376,,,,,,
Silva Ltda,377,,,,,,
Simón Parrilla,378,,,,,,
Sociedad Colombiana de Arquitectos,379,,,,,,
Sociedad Económica de Amigos El País,380,,,,,,
Sociedad Portuaria Regional de Buenaventura,381,,,,,,
Sura,382,,,,,,
Suramericana,383,,,,,,
Susana de Lima,384,,,,,,
Teatro Jorge Isaacs,385,,,,,,
Telepacífico,386,,,,,,
Telesat,387,,,,,,
Textiles El Cedro,388,,,,,,
Tiempo de amor y erotismo 2011,389,,,,,,
Titan Intercontinental,390,,,,,,
Toot,391,,,,,,
Tribeca Film Institute,392,,,,,,
trilogía,393,,,,,,
TV5MONDE,394,,,,,,
Ultratex,395,,,,,,
Unión Carbide,396,,,,,,
Unión Cultural Israelita,397,,,,,,
Universal fotográfica,398,,,,,,
Universidad Autonoma,399,,,,,,
Universidad Autónoma de Occidente,400,,,,,,
Universidad de Antioquia,401,,,,,,
Universidad de Puerto Rico,402,,,,,,
Universidad del Valle,403,,,,,,
Universidad Javeriana,404,,,,,,
Universidad Javeriana Bogotá,405,,,,,,
Urbanización Gran Limonar,406,,,,,,
Videosónica,407,,,,,,
VII Congreso colombiano de farmacología y terapeutica,408,,,,,,
Vincorte,409,,,,,,
Vivero Marinela,410,,,,,,
Yemail Arquitectura,411,,,,,,
Young & Rubicam,412,,,,,,
