nombre_registro_creador,id_persona,nombres_persona,apellidos_persona,seudonimo_persona,otros_nombres,ano_nacimiento,ano_muerte,sexo,nacionalidad,pais_nacimiento,ciudad_nacimiento,ocupaciones,id_img__persona_fk,obra_en_coleccion_MTL,url_wikipedia_persona,observaciones_personas,,tipo_creador
Clarisse Gueller,124,Clarisse,Gueller,Gle,,,,,Brasil,,,artista,,3,,,,
Catalina Mejía,125,Catalina,Mejía,,,,,,Colombia,,,artista,,3,,,,
Carlos Martínez,126,Carlos,Martínez,,,,,,Colombia,,,artista,,3,,,,
Bernardo Salcedo,127,Bernardo,Salcedo,,,,,,Colombia,,,artista,,3,,,,
Augusto Rendón,128,Augusto,Rendón,,,,,,Colombia,,,artista,,3,,,,
Arcangelo Ianelli,129,Arcangelo,Ianelli,,,,,,Brasil,,,artista,,3,,,,
Alberto Castro Leñero,130,Alberto,Castro Leñero,,,,,,México,,,artista,,3,,,,
Ximena De Valdenebro,131,Ximena,De Valdenebro,,,,,,Colombia,,,artista,,2,,,,
Vicky Neumann,132,Vicky,Neumann,,,1963,,F,Colombia,Colombia,Barranquilla ,artista,,2,,,,
Vera Frenkel,133,Vera,Frenkel,,,,,,Canadá,,,artista,,2,,,,
Tina Celis,134,Tina,Celis,,,,,,Colombia,,,artista,,1,,,,
Tabo Toral,135,Tabo,Toral,,,,,,Panamá,,,artista,,2,,,,
Sonia Gutiérrez,136,Sonia,Gutiérrez,,,,,,Colombia,,,artista,,2,,,,
Saturnino Ramírez,137,Saturnino,Ramírez,,,,,,Colombia,,,artista,,2,,,,
Ruth Bessoudo Courvoisier,138,Ruth,Bessoudo Courvoisier,,,,,,Brasil,,,artista,,2,,,,
Ruby Posada,139,Ruby,Posada,,,,,,Colombia,,,artista,,2,,,,
Rubens Gerchman,140,Rubens,Gerchman,,,,,,Brasil,,,artista,,2,,,,
Ronny Vayda,141,Ronny,Vayda,,,,,,Colombia,,,artista,,2,,,,
Rolando Peña,142,Rolando,Peña,,,,,,Venezuela,,,artista,,2,,,,
Rodrigo Facundo,143,Rodrigo,Facundo,,,,,,Colombia,,,artista,,2,,,,
Roberto De Lamonica,144,Roberto,De Lamonica,,,,,,Brasil,,,artista,,2,,,,
Risaburo Kimura,145,Risaburo,Kimura,,,,,,Japón,,,artista,,2,,,,
Régulo Pérez,146,Régulo,Pérez,,,,,,Venezuela,,,artista,,2,,,,
Ramón Ferran-Pages,147,Ramón,Ferran-Pages,,,,,,España,,,artista,,2,,,,
Rafael Echeverri,148,Rafael,Echeverri,,,,,,Colombia,,,artista,,2,,,,
Rafael Ortiz,149,Rafael,Ortiz,,,1960,,M,Colombia,Colombia,Bogotá,artista,,2,,,,
Phanor León,150,Phanor,León,,,1944,,M,Colombia,Colombia,Cali,artista,,1,,,,
Pedro Nel Gómez,151,Pedro Nel,Gómez,,,,,,Colombia,,,artista,,2,,,,
Patricia Tavera,152,Patricia,Tavera,,,,,,Colombia,,,artista,,2,,,,
Óscar Campo,153,Óscar,Campo,,,1957,,M,Colombia,Colombia,Cali,artista,,2,,,,
Óscar Pantoja,154,Óscar,Pantoja,,,,,,Bolivia,,,artista,,2,,,,
Olga Amaral,155,Olga,Amaral,,,,,,Colombia,,,artista,,2,,,,
Noé Nojechowicz,156,Noé,Nojechowicz,,,,,,Argentina,,,artista,,2,,,,
Nirma Zarate,157,Nirma,Zarate,,,,,,Colombia,,,artista,,2,,,,
Mireille Muheim,158,Mireille,Muheim,,,,,,Suiza,,,artista,,2,,,,
Miguel Bohmer,159,Miguel,Bohmer,,Miguel Böhmer,1958,,M,Colombia,Colombia ,Cali,artista,,2,,,,
Mario Gordillo,160,Mario,Gordillo,,,,,,Ecuador,,,artista,,2,,,,
Mario Martin Del Campo,161,Mario,Martin Del Campo,,,,,,México,,,artista,,2,,,,
Mario Ossaba,162,Mario,Ossaba,,,,,,Colombia,,,artista,,2,,,,
María Teresa Vieco,163,María Teresa,Vieco,,,1953,,F,Colombia,Colombia ,Bogotá ,artista,,2,,,,
Margarita Monsalve,164,Margarita,Monsalve,,,,,,Colombia,,,artista,,2,,,,
Marco Ospina,165,Marco,Ospina,,,,,,Colombia,,,artista,,2,,,,
Luz Ángela Lizarazo,166,Luz Ángela,Lizarazo,,,1966,,F,Colombia,Colombia,Bogotá,artista,,2,,,,
Luisa Palacios,167,Luisa,Palacios,,,,,,Venezuela,,,artista,,2,,,,
Luis Gregorio Correia,168,Luis Gregorio,Correia,,,,,,Brasil,,,artista,,2,,,,
Luis Alberto Solari,169,Luis Alberto,Solari,,Luis Solari,1918,1993,M,Uruguay,Uruguay,Fray Bentos,artista,,2,,,,
Luis Guevara Moreno,170,Luis,Guevara Moreno,,,,,,Venezuela,,,artista,,2,,,,
Luis Martínez Pedro,171,Luis,Martínez Pedro,,,,,,Cuba,,,artista,,2,,,,
