nombre_registro_creador,id_persona,nombres_persona,apellidos_persona,seudonimo_persona,otros_nombres,ano_nacimiento,ano_muerte,sexo,nacionalidad,pais_nacimiento,ciudad_nacimiento,ocupaciones,id_img__persona_fk,obra_en_coleccion_MTL,url_wikipedia_persona,observaciones_personas,,tipo_creador
Jakob Gwinner,1471,Jakob,Gwinner,,,,,,,,,artista,,0,,,,
Jakob Hoflinger,1472,Jakob,Hoflinger,,,,,,,,,artista,,0,,,,
Jakob Tuggener,1473,Jakob,Tuggener,,,,,,,,,artista,,0,,,,
Jairo Guerrero,1474,Jairo,Guerrero,,,,,,,,,artista,,0,,,,
Jairo Mejía,1475,Jairo,Mejía,,,,,,,,,artista,,0,,,,
Jairo Upegui,1476,Jairo,Upegui,,,,,,,,,artista,,0,,,,
Jair Glass,1477,Jair,Glass,,,,,,,,,artista,,0,,,,
Jaime Arango,1478,Jaime,Arango,,,,,,,,,artista,,0,,,,
Jaime Ardila,1479,Jaime,Ardila,,,,,,,,,artista,,0,,,,
Jaime Cárdenas,1480,Jaime,Cárdenas,,Jaime Cárdenas Matallana,1946,,M,Colombiana,Colombia ,Pereira,artista,,0,,,,
Jaime Mendoza,1481,Jaime,Mendoza,,,,,,,,,artista,,0,,,,
Jaime Román,1482,Jaime,Román,,,,,,,,,artista,,0,,,,
Jaime Romano,1483,Jaime,Romano,,,,,,,,,artista,,0,,,,
Jaime Sáenz,1484,Jaime,Sáenz,,,,,,,,,artista,,0,,,,
Jadir Freire,1485,Jadir,Freire,,,,,,,,,artista,,0,,,,
Jacques Nathan,1486,Jacques,Nathan,,,,,,,,,artista,,0,,,,
Jacqueline Leirner,1487,Jacqueline,Leirner,,,,,,,,,artista,,0,,,,
Jacob Landau,1488,Jacob,Landau,,,,,,,,,artista,,0,,,,
Jacob Lawrence,1489,Jacob,Lawrence,,,,,,,,,artista,,0,,,,
Jack Metzger,1490,Jack,Metzger,,,,,,,,,artista,,0,,,,
Jack Youngerman,1491,Jack,Youngerman,,,,,,,,,artista,,0,,,,
J. Borges,1492,J.,Borges,,,,,,,,,artista,,0,,,,
Iwan Schumacher,1493,Iwan,Schumacher,,,,,,,,,artista,,0,,,,
Ivy Ross,1494,Ivy,Ross,,,,,,,,,artista,,0,,,,
Ivone Couto,1495,Ivone,Couto,,,,,,,,,artista,,0,,,,
Ivanka Drufovka,1496,Ivanka,Drufovka,,,,,,,,,artista,,0,,,,
Iván González,1497,Iván,González,,,,,,,,,artista,,0,,,,
Ivan Chermayeff,1498,Ivan,Chermayeff,,,,,,,,,artista,,0,,,,
Ivan Eyre,1499,Ivan,Eyre,,,,,,,,,artista,,0,,,,
Ivan Freitas,1500,Ivan,Freitas,,,,,,,,,artista,,0,,,,
Italo Scanga,1501,Italo,Scanga,,,,,,,,,artista,,0,,,,
Ismael Añez,1502,Ismael,Añez,,,,,,,,,artista,,0,,,,
Ismael Frigerio,1503,Ismael,Frigerio,,,,,,,,,artista,,0,,,,
Isidro Ferrer,1504,Isidro,Ferrer,,,,,,,,,artista,,0,,,,
Isabel Arroyo,1505,Isabel,Arroyo,,Gipsy Isabel Arroyo ,1958,,F,Colombiana,Colombia,Buenaventura ,artista,,0,,,,
Isabel Easton,1506,Isabel,Easton,,,,,,,,,artista,,0,,,,
Isabel Gimeno,1507,Isabel,Gimeno,,,,,,,,,artista,,0,,,,
Isabel Pons,1508,Isabel,Pons,,,,,,,,,artista,,0,,,,
Irene Redd,1509,Irene,Redd,,,,,,,,,artista,,0,,,,
Ilse Gordon,1510,Ilse,Gordon,,,,,,,,,artista,,0,,,,
Ikeda Masuo,1511,Ikeda,Masuo,,,,,,,,,artista,,0,,,,
Hysni Krasnici,1512,Hysni,Krasnici,,,,,,,,,artista,,0,,,,
Humberto Aquino,1513,Humberto,Aquino,,,,,,,,,artista,,0,,,,
Hugo Baptista,1514,Hugo,Baptista,,,,,,,,,artista,,0,,,,
Hugo Florián,1515,Hugo,Florián,,,,,,,,,artista,,0,,,,
Hugo Herdeg,1516,Hugo,Herdeg,,,,,,,,,artista,,0,,,,
Hugo Rivera,1517,Hugo,Rivera,,,,,,,,,artista,,0,,,,
Hugo Rojas,1518,Hugo,Rojas,,,,,,,,,artista,,0,,,,
Hsiao Chin,1519,Hsiao,Chin,,,,,,,,,artista,,0,,,,
Horst Antes,1520,Horst,Antes,,,,,,,,,artista,,0,,,,
Horst Janssen,1521,Horst,Janssen,,,,,,,,,artista,,0,,,,
Honore Sharrer,1522,Honore,Sharrer,,,,,,,,,artista,,0,,,,
Hilla Becher,1523,Hilla,Becher,,,,,,,,,artista,,0,,,,
Hery Wolf,1524,Hery,Wolf,,,,,,,,,artista,,0,,,,
Hernando Cárdenas Valencia,1525,Hernando,Cárdenas,,,,,,,,,artista,,0,,,,
Hernando Guerrero,1526,Hernando,Guerrero,,,,,,,,,artista,,0,,,,
Hernando Hoyos,1527,Hernando,Hoyos,,,,,,,,,artista,,0,,,,
Hernando Lemaitre,1528,Hernando,Lemaitre,,,,,,,,,artista,,0,,,,
Hernando Salazar,1529,Hernando,Salazar,,,,,,,,,artista,,0,,,,
Hernando Vallderruten,1530,Hernando,Vallderruten,,,,,,,,,artista,,0,,,,
Hernán Dompé,1531,Hernán,Dompé,,,,,,,,,artista,,0,,,,
Hernán Lozano,1532,Hernán,Lozano,,,,,,,,,artista,,0,,,,
Hernán Muñoz,1533,Hernán,Muñoz,,,,,,,,,artista,,0,,,,
Hernán Pazos,1534,Hernán,Pazos,,,,,,,,,artista,,0,,,,
Hernán Uribe,1535,Hernán,Uribe,,,,,,,,,artista,,0,,,,
Hermenegildo Sabat,1536,Hermenegildo,Sabat,,,,,,,,,artista,,0,,,,
Hermann Stauder,1537,Hermann,Stauder,,,,,,,,,artista,,0,,,,
Herbert Matter,1538,Herbert,Matter,,,,,,,,,artista,,0,,,,
Herbert Oehm,1539,Herbert,Oehm,,,,,,,,,artista,,0,,,,
Henry Bermúdez,1540,Henry,Bermúdez,,,,,,,,,artista,,0,,,,
Henry Cliffe,1541,Henry,Cliffe,,,,,,,,,artista,,0,,,,
Henry Dunsmore,1542,Henry,Dunsmore,,,,,,,,,artista,,0,,,,
Henry Lobo,1543,Henry,Lobo,,,,,,,,,artista,,0,,,,
Henry Moore,1544,Henry,Moore,,,,,,,,,artista,,0,,,,
Henriette Grindat,1545,Henriette,Grindat,,,,,,,,,artista,,0,,,,
Henri Laurens,1546,Henri,Laurens,,,,,,,,,artista,,0,,,,
Henri Matisse,1547,Henri,Matisse,,,,,,,,,artista,,0,,,,
Helmunt Federle,1548,Helmunt,Federle,,,,,,,,,artista,,0,,,,
Helen Banes,1549,Helen,Banes,,,,,,,,,artista,,0,,,,
Helen Frankenthaler,1550,Helen,Frankenthaler,,,,,,,,,artista,,0,,,,
Helen Shirk,1551,Helen,Shirk,,,,,,,,,artista,,0,,,,
Heinz-Dieter Finck,1552,Heinz-Dieter,Finck,,,,,,,,,artista,,0,,,,
Heinz Guggenbuhl,1553,Heinz,Guggenbuhl,,,,,,,,,artista,,0,,,,
Heinz Hebeisen,1554,Heinz,Hebeisen,,,,,,,,,artista,,0,,,,
Heinz Mack,1555,Heinz,Mack,,,,,,,,,artista,,0,,,,
Heiner Kielholz,1556,Heiner,Kielholz,,,,,,,,,artista,,0,,,,
Héctor Castro,1557,Héctor,Castro,,,,,,,,,artista,,0,,,,
Héctor Labrada,1558,Héctor,Labrada,,,,,,,,,artista,,0,,,,
Hebert Bayer,1559,Hebert,Bayer,,,,,,,,,artista,,0,,,,
Hazard Durfee,1560,Hazard,Durfee,,,,,,,,,artista,,0,,,,
Harry Kiyooka,1561,Harry,Kiyooka,,,,,,,,,artista,,0,,,,
Harry Lieberman,1562,Harry,Lieberman,,,,,,,,,artista,,0,,,,
Harold Klunder,1563,Harold,Klunder,,,,,,,,,artista,,0,,,,
Harold Otero,1564,Harold,Otero,,,,,,,,,artista,,0,,,,
Harmony Hammond,1565,Harmony,Hammond,,,,,,,,,artista,,0,,,,
Hans Blohm,1566,Hans,Blohm,,,,,,,,,artista,,0,,,,
Hans Dossenbach,1567,Hans,Dossenbach,,,,,,,,,artista,,0,,,,
Hans Erni,1568,Hans,Erni,,,,,,,,,artista,,0,,,,
Hans Feuer,1569,Hans,Feuer,,,,,,,,,artista,,0,,,,
Hans Finsler,1570,Hans,Finsler,,,,,,,,,artista,,0,,,,
Hans Krebs,1571,Hans,Krebs,,,,,,,,,artista,,0,,,,
Hans Laaps,1572,Hans,Laaps,,,,,,,,,artista,,0,,,,
Hans Schapfler,1573,Hans,Schapfler,,,,,,,,,artista,,0,,,,
Hans Staub,1574,Hans,Staub,,,,,,,,,artista,,0,,,,
Hans Weyermann,1575,Hans,Weyermann,,,,,,,,,artista,,0,,,,
Hannah Doeleman,1576,Hannah,Doeleman,,,,,,,,,artista,,0,,,,
Hanna Villiger,1577,Hanna,Villiger,,,,,,,,,artista,,0,,,,
Gyorgy Kepes,1578,Gyorgy,Kepes,,,,,,,,,artista,,0,,,,
Gyongy Laky,1579,Gyongy,Laky,,,,,,,,,artista,,0,,,,
Gustavo Espinosa,1580,Gustavo,Espinosa,,,,,,,,,artista,,0,,,,
Gustavo Hansson,1581,Gustavo,Hansson,,,,,,,,,artista,,0,,,,
Gustavo Jaramillo,1582,Gustavo,Jaramillo,,,,,,,,,artista,,0,,,,
Gustavo Quintero,1583,Gustavo,Quintero,,,,,,,,,artista,,0,,,,
Gustavo Sorzano,1584,Gustavo,Sorzano,,,,,,,,,artista,,0,,,,
Günther Uecker,1585,Günther,Uecker,,,,,,,,,artista,,0,,,,
Günter Fruhtrunk,1586,Günter,Fruhtrunk,,,,,,,,,artista,,0,,,,
Guita Charifker,1587,Guita,Charifker,,,,,,,,,artista,,0,,,,
Guillermo Conte,1588,Guillermo,Conte,,,,,,,,,artista,,0,,,,
Guillermo Duarte,1589,Guillermo,Duarte,,,,,,,,,artista,,0,,,,
Guillermo Franco,1590,Guillermo,Franco,,,,,,,,,artista,,0,,,,
Guillermo Kuitca,1591,Guillermo,Kuitca,,,,,,,,,artista,,0,,,,
Guillermo Marín,1592,Guillermo,Marín,,,1968 ó 1970,,M,Colombiana,Colombia ,Sevilla o Armenia,artista,,0,,,,
Guillermo Melo,1593,Guillermo,Melo,,,,,,,,,artista,,0,,,,
Guillermo Restrepo,1594,Guillermo,Restrepo,,,,,,,,,artista,,0,,,,
Guillermo Silva,1595,Guillermo,Silva,,,,,,,,,artista,,0,,,,
Guevara Moreno,1596,Guevara,Moreno,,,,,,,,,artista,,0,,,,
Guen Inokuma,1597,Guen,Inokuma,,,,,,,,,artista,,0,,,,
Grupo Semefo,1598,Grupo,Semefo,,,,,,,,,artista,,0,,,,
Grimaldo Romero,1599,Grimaldo,Romero,,,,,,,,,artista,,0,,,,
Gretchen Klunder-Raber,1600,Gretchen,Klunder-Raber,,,,,,,,,artista,,0,,,,
Grégoire Korganow,1601,Grégoire,Korganow,,,,,,,,,artista,,0,,,,
Graham Coughtry,1602,Graham,Coughtry,,,,,,,,,artista,,0,,,,
Graham Sutherland,1603,Graham,Sutherland,,,,,,,,,artista,,0,,,,
Gotthard Schuh,1604,Gotthard,Schuh,,,,,,,,,artista,,0,,,,
Gordon Rayner,1605,Gordon,Rayner,,,,,,,,,artista,,0,,,,
Gonzalo Posada,1606,Gonzalo,Posada,,,,,,,,,artista,,0,,,,
Gómez Pulido,1607,Gómez,Pulido,,,,,,,,,artista,,0,,,,
Goebel Weyne,1608,Goebel,Weyne,,,,,,,,,artista,,0,,,,
Gloria Elliot,1609,Gloria,Elliot,,,,,,,,,artista,,0,,,,
Gloria Escobar,1610,Gloria,Escobar,,,,,,,,,artista,,0,,,,
Gloria Posada,1611,Gloria,Posada,,,,,,,,,artista,,0,,,,
Gladys Afamado,1612,Gladys,Afamado,,,,,,,,,artista,,0,,,,
Gladys Barney,1613,Gladys,Barney,,,,,,,,,artista,,0,,,,
Giovanni Millán,1614,Giovanni,Millán,,,,,,,,,artista,,0,,,,
Giovanni Pintori,1615,Giovanni,Pintori,,,,,,,,,artista,,0,,,,
Gino Pedroli,1616,Gino,Pedroli,,,,,,,,,artista,,0,,,,
Gina Lopez,1617,Gina,Lopez,,,,,,,,,artista,,0,,,,
Gilvan Samico,1618,Gilvan,Samico,,,,,,,,,artista,,0,,,,
Gilberto Aceves,1619,Gilberto,Aceves,,,,,,,,,artista,,0,,,,
Gilberto Frometa,1620,Gilberto,Frometa,,,,,,,,,artista,,0,,,,
Gilberto Parra,1621,Gilberto,Parra,,,,,,,,,artista,,0,,,,
Gilberto Torrealba,1622,Gilberto,Torrealba,,,,,,,,,artista,,0,,,,
Gil Imana,1623,Gil,Imana,,,,,,,,,artista,,0,,,,
Gianfranco Galante,1624,Gianfranco,Galante,,,,,,,,,artista,,0,,,,
Giancarlo Puppo,1625,Giancarlo,Puppo,,,,,,,,,artista,,0,,,,
Gette,1626,Gette,,,,,,,,,,artista,,0,,,,
Gerty Sarue,1627,Gerty,Sarue,,,,,,,,,artista,,0,,,,
Gertrude Fehr,1628,Gertrude,Fehr,,,,,,,,,artista,,0,,,,
Gertrud Duby-Muller,1629,Gertrud,Duby-Muller,,,,,,,,,artista,,0,,,,
Gert-Jan Bartelsman,1630,Gert-Jan,Bartelsman,,,,,,,,,artista,,0,,,,
Gernot Bubenik,1631,Gernot,Bubenik,,,,,,,,,artista,,0,,,,
Germán Aristizábal,1632,Germán,Aristizábal,,,,,,,,,artista,,0,,,,
Germán Botero,1633,Germán,Botero,,,,,,,,,artista,,0,,,,
Germán Chaparro,1634,Germán,Chaparro,,,,,,,,,artista,,0,,,,
Germán Montalvo,1635,Germán,Montalvo,,,,,,,,,artista,,0,,,,
Germán Páez,1636,Germán,Páez,,,,,,,,,artista,,0,,,,
Germán Tellez,1637,Germán,Tellez,,,,,,,,,artista,,0,,,,
German Braun,1638,German,Braun,,,,,,,,,artista,,0,,,,
Gerd Leufert,1639,Gerd,Leufert,,,,,,,,,artista,,0,,,,
Gerardo Aragón,1640,Gerardo,Aragón,,,,,,,,,artista,,0,,,,
Gerardo Caballero,1641,Gerardo,Caballero,,,,,,,,,artista,,0,,,,
Gerardo Negret,1642,Gerardo,Negret,,,,,,,,,artista,,0,,,,
Gerardo Reyes,1643,Gerardo,Reyes,,,,,,,,,artista,,0,,,,
Gerardo Rueda,1644,Gerardo,Rueda,,,,,,,,,artista,,0,,,,
Georges Rouault,1645,Georges,Rouault,,,,,,,,,artista,,0,,,,
George Giusti,1646,George,Giusti,,,,,,,,,artista,,0,,,,
George Miyasaki,1647,George,Miyasaki,,,,,,,,,artista,,0,,,,
George Ortman,1648,George,Ortman,,,,,,,,,artista,,0,,,,
George Smith,1649,George,Smith,,,,,,,,,artista,,0,,,,
Georg Gerster,1650,Georg,Gerster,,,,,,,,,artista,,0,,,,
Geoffrey Clarke,1651,Geoffrey,Clarke,,,,,,,,,artista,,0,,,,
Gene Federico,1652,Gene,Federico,,,,,,,,,artista,,0,,,,
Gene Pijanowski,1653,Gene,Pijanowski,,,,,,,,,artista,,0,,,,
Gathie Falk,1654,Gathie,Falk,,,,,,,,,artista,,0,,,,
Gastón Betelli,1655,Gastón,Betelli,,,,,,,,,artista,,0,,,,
Gaspard-Félix Tournachon,1656,Gaspard-Félix,Tournachon,,,,,,,,,artista,,0,,,,
Garry Griffin,1657,Garry,Griffin,,,,,,,,,artista,,0,,,,
Gail Gash,1658,Gail,Gash,,,,,,,,,artista,,0,,,,
Gael Stack,1659,Gael,Stack,,,,,,,,,artista,,0,,,,
Gabriela Pacific,1660,Gabriela,Pacific,,,,,,,,,artista,,0,,,,
Gabriel Grendene,1661,Gabriel,Grendene,,,,,,,,,artista,,0,,,,
Gabriel Ramírez,1662,Gabriel,Ramírez,,,,,,,,,artista,,0,,,,
Gabriel Suárez,1663,Gabriel,Suárez,,,,,,,,,artista,,0,,,,
G. Klutsis,1664,G.,Klutsis,,,,,,,,,artista,,0,,,,
Fritz Kothe,1665,Fritz,Kothe,,,,,,,,,artista,,0,,,,
Friedrich Kressmann,1666,Friedrich,Kressmann,,,,,,,,,artista,,0,,,,
Friederich Meckseper,1667,Friederich,Meckseper,,,,,,,,,artista,,0,,,,
Fredy Serna,1668,Fredy,Serna,,,,,,,,,artista,,0,,,,
Freddy Colorado,1669,Freddy,Colorado,,,,,,,,,artista,,0,,,,
Freda Sargent,1670,Freda,Sargent,,,,,,,,,artista,,0,,,,
Fred Boissonnas,1671,Fred,Boissonnas,,,,,,,,,artista,,0,,,,
Fred Mayer,1672,Fred,Mayer,,,,,,,,,artista,,0,,,,
Fred Troller,1673,Fred,Troller,,,,,,,,,artista,,0,,,,
Fred Waldvogen,1674,Fred,Waldvogen,,,,,,,,,artista,,0,,,,
Fred Woell,1675,Fred,Woell,,,,,,,,,artista,,0,,,,
Franziska Mollinger,1676,Franziska,Mollinger,,,,,,,,,artista,,0,,,,
Franz Henn,1677,Franz,Henn,,,,,,,,,artista,,0,,,,
Frank Romero,1678,Frank,Romero,,,,,,,,,artista,,0,,,,
Frank Stella,1679,Frank,Stella,,,,,,,,,artista,,0,,,,
Francisco Antigua,1680,Francisco,Antigua,,,,,,,,,artista,,0,,,,
Francisco Cárdenas,1681,Francisco,Cárdenas,,,,,,,,,artista,,0,,,,
Francisco Dosamantas,1682,Francisco,Dosamantas,,,,,,,,,artista,,0,,,,
Francisco Espinoza,1683,Francisco,Espinoza,,,,,,,,,artista,,0,,,,
Francisco Fernández,1684,Francisco,Fernández,,,,,,,,,artista,,0,,,,
Francisco Gallardo,1685,Francisco,Gallardo,,,,,,,,,artista,,0,,,,
Francisco Gámez,1686,Francisco,Gámez,,,,,,,,,artista,,0,,,,
Francisco Jung,1687,Francisco,Jung,,,,,,,,,artista,,0,,,,
Francisco López,1688,Francisco,López,,,,,,,,,artista,,0,,,,
Francisco Piñeros,1689,Francisco,Piñeros,,,,,,,,,artista,,0,,,,
Francisco Quilici,1690,Francisco,Quilici,,,,,,,,,artista,,0,,,,
Francisco Ramírez,1691,Francisco,Ramírez,,,,,,,,,artista,,0,,,,
Francisco Redondo,1692,Francisco,Redondo,,,,,,,,,artista,,0,,,,
Francisco Restrepo,1693,Francisco,Restrepo,,,,,,,,,artista,,0,,,,
Francisco Rodríguez,1694,Francisco,Rodríguez,,,,,,,,,artista,,0,,,,
Francisco Salazar,1695,Francisco,Salazar,,,,,,,,,artista,,0,,,,
Francisca Sutil,1696,Francisca,Sutil,,,,,,,,,artista,,0,,,,
Francesca Bellini,1697,Francesca,Bellini,,,,,,,,,artista,,0,,,,
Frances Myers,1698,Frances,Myers,,,,,,,,,artista,,0,,,,
Florise Herbez,1699,Florise,Herbez,,,,,,,,,artista,,0,,,,
Florencia Vélez,1700,Florencia,Vélez,,,,,,,,,artista,,0,,,,
Florecen Bezrutczyk,1701,Florecen,Bezrutczyk,,,,,,,,,artista,,0,,,,
Flora Golberg,1702,Flora,Golberg,,,,,,,,,artista,,0,,,,
Filomeno Hernández,1703,Filomeno,Hernández,,,,,,,,,artista,,0,,,,
Ferney Shambo,1704,Ferney,Shambo,,,,,,,,,artista,,0,,,,
Fernando Abella,1705,Fernando,Abella,,,,,,,,,artista,,0,,,,
Fernando Acosta,1706,Fernando,Acosta,,,,,,,,,artista,,0,,,,
Fernando Cruz,1707,Fernando,Cruz,,,,,,,,,artista,,0,,,,
Fernando Devis,1708,Fernando,Devis,,,,,,,,,artista,,0,,,,
Fernando Duval,1709,Fernando,Duval,,,,,,,,,artista,,0,,,,
Fernando Fazzolari,1710,Fernando,Fazzolari,,,,,,,,,artista,,0,,,,
Fernando García,1711,Fernando,García,,,,,,,,,artista,,0,,,,
Fernando Hidalgo,1712,Fernando,Hidalgo,,,1971,,M,Colombiana,Colombia,Cali ,artista,,0,,,,
Fernando Maldonado,1713,Fernando,Maldonado,,,,,,,,,artista,,0,,,,
Fernando Uhía,1714,Fernando,Uhía,,,1967,,M,Colombiana,Colombia,Bogotá,artista,,0,,,,
Fernando Undurraga,1715,Fernando,Undurraga,,,,,,,,,artista,,0,,,,
Fernand Bergeron,1716,Fernand,Bergeron,,,,,,,,,artista,,0,,,,
Fernand Léger,1717,Fernand,Léger,,,,,,,,,artista,,0,,,,
Ferdinand Kriwet,1718,Ferdinand,Kriwet,,,,,,,,,artista,,0,,,,
Félix Domingo,1719,Félix,Domingo,,,,,,,,,artista,,0,,,,
Félix Perdomo,1720,Félix,Perdomo,,,,,,,,,artista,,0,,,,
Felipe Arbeláez,1721,Felipe,Arbeláez,,,,,,,,,artista,,0,,,,
Felipe Herrera,1722,Felipe,Herrera,,,,,,,,,artista,,0,,,,
Felipe Orlando,1723,Felipe,Orlando,,,,,,,,,artista,,0,,,,
Felipe Salazar,1724,Felipe,Salazar,,,,,,,,,artista,,0,,,,
Feliks Topolsky,1725,Feliks,Topolsky,,,,,,,,,artista,,0,,,,
Federman Contreras,1726,Federman,Contreras,,,,,,,,,artista,,0,,,,
Fayga Ostrower,1727,Fayga,Ostrower,,,,,,,,,artista,,0,,,,
Fay Medina,1728,Fay,Medina,,,,,,,,,artista,,0,,,,
Fánor León,1729,Fánor,León,,,,,,,,,artista,,0,,,,
Fánor Satizábal,1730,Fánor,Satizábal,,,,,,,,,artista,,0,,,,
Fanny Buitrago,1731,Fanny,Buitrago,,,,,,,,,artista,,0,,,,
Fanny Finkelman,1732,Fanny,Finkelman,,,,,,,,,artista,,0,,,,
Fabrizio Plessi,1733,Fabrizio,Plessi,,,,,,,,,artista,,0,,,,
Fabio Lozano,1734,Fabio,Lozano,,,,,,,,,artista,,0,,,,
Fabio Rodríguez,1735,Fabio,Rodríguez,,,,,,,,,artista,,0,,,,
Fabio Valencia,1736,Fabio,Valencia,,,,,,,,,artista,,0,,,,
Expedito,1737,Expedito,,,,,,,,,,artista,,0,,,,
Exaltación Casavilca,1738,Exaltación,Casavilca,,,,,,,,,artista,,0,,,,
Evelio Lecour,1739,Evelio,Lecour,,,,,,,,,artista,,0,,,,
Evelia Medina,1740,Evelia,Medina,,,,,,,,,artista,,0,,,,
Evansandwong,1741,Evansandwong,,,,,,,,,,artista,,0,,,,
Eugenio Espinoza,1742,Eugenio,Espinoza,,,,,,,,,artista,,0,,,,
Eugenio Sanchez,1743,Eugenio,Sanchez,,,,,,,,,artista,,0,,,,
Eugenio Téllez,1744,Eugenio,Téllez,,,,,,,,,artista,,0,,,,
Ethel Gilmour,1745,Ethel,Gilmour,,,,,,,,,artista,,0,,,,
Esvaldo Monzo,1746,Esvaldo,Monzo,,,,,,,,,artista,,0,,,,
Estudio Canovas,1747,Estudio,Canovas,,,,,,,,,artista,,0,,,,
Estudio Shakespear,1748,Estudio,Shakespear,,,,,,,,,artista,,0,,,,
Estuardo Maldonado,1749,Estuardo,Maldonado,,,,,,,,,artista,,0,,,,
Estrella Murillo,1750,Estrella,Murillo,,,1972,,F,Colombiana,Colombia,"Itsmina, Choco",artista,,0,,,,
Esther Peck,1751,Esther,Peck,,,,,,,,,artista,,0,,,,
Esther Vainstein,1752,Esther,Vainstein,,,,,,,,,artista,,0,,,,
Esteban Villa,1753,Esteban,Villa,,,1962,,M,Colombiana,Colombia ,Medellín,artista,,0,,,,
Esperanza Barroso,1754,Esperanza,Barroso,,,,,,,,,artista,,0,,,,
Erwan Bouroullec,1755,Erwan,Bouroullec,,,,,,,,,artista,,0,,,,
Ernst Heiniger,1756,Ernst,Heiniger,,,,,,,,,artista,,0,,,,
Ernst Link,1757,Ernst,Link,,,,,,,,,artista,,0,,,,
Ernst Scheidegger,1758,Ernst,Scheidegger,,,,,,,,,artista,,0,,,,
Ernesto Deira,1759,Ernesto,Deira,,,,,,,,,artista,,0,,,,
Ernesto Fontesilla,1760,Ernesto,Fontesilla,,,,,,,,,artista,,0,,,,
Ernesto Lehfeld,1761,Ernesto,Lehfeld,,,,,,,,,artista,,0,,,,
Ernesto Muñoz,1762,Ernesto,Muñoz,,,,,,,,,artista,,0,,,,
Ernesto Restrepo,1763,Ernesto,Restrepo,,,,,,,,,artista,,0,,,,
Ernesto Torres,1764,Ernesto,Torres,,,,,,,,,artista,,0,,,,
Ernest Bloch,1765,Ernest,Bloch,,,,,,,,,artista,,0,,,,
Ernest Roch,1766,Ernest,Roch,,,,,,,,,artista,,0,,,,
Érika Diettes,1767,Érika,Diettes,,Erika Diettes,1978,,F,Colombiana,Colombia,Cali,artista,,0,,,,
Eric Hilton,1768,Eric,Hilton,,,,,,,,,artista,,0,,,,
Erberto Carboni,1769,Erberto,Carboni,,,,,,,,,artista,,0,,,,
Erazo,1770,Erazo,,,,,,,,,,artista,,0,,,,
Enrique Castrocid,1771,Enrique,Castrocid,,,,,,,,,artista,,0,,,,
Enrique Hernández,1772,Enrique,Hernández,,,,,,,,,artista,,0,,,,
Enrique Jaramillo,1773,Enrique,Jaramillo,,,,,,,,,artista,,0,,,,
Enrique Moret,1774,Enrique,Moret,,,,,,,,,artista,,0,,,,
Enrique Toroja,1775,Enrique,Toroja,,,,,,,,,artista,,0,,,,
Enrique Wallenberg,1776,Enrique,Wallenberg,,,,,,,,,artista,,0,,,,
Eneias,1777,Eneias,,,,,,,,,,artista,,0,,,,
Emily Dubois,1778,Emily,Dubois,,,,,,,,,artista,,0,,,,
Emilio Ambasz,1779,Emilio,Ambasz,,,,,,,,,artista,,0,,,,
Emilio Tadini,1780,Emilio,Tadini,,,,,,,,,artista,,0,,,,
Emil Goetz,1781,Emil,Goetz,,,,,,,,,artista,,0,,,,
Emil Schulthess,1782,Emil,Schulthess,,,,,,,,,artista,,0,,,,
Emil Spuhler,1783,Emil,Spuhler,,,,,,,,,artista,,0,,,,
Emel Meneses,1784,Emel,Meneses,,,,,,,,,artista,,0,,,,
Elsa Gramcko,1785,Elsa,Gramcko,,,,,,,,,artista,,0,,,,
Ellworth Kelly,1786,Ellworth,Kelly,,,,,,,,,artista,,0,,,,
Ellen Dimsdale,1787,Ellen,Dimsdale,,,,,,,,,artista,,0,,,,
Ellen Martan,1788,Ellen,Martan,,,,,,,,,artista,,0,,,,
Ellen Reiben,1789,Ellen,Reiben,,,,,,,,,artista,,0,,,,
Ella Maillard,1790,Ella,Maillard,,,,,,,,,artista,,0,,,,
Elizabeth Aro,1791,Elizabeth,Aro,,,,,,,,,artista,,0,,,,
Elizabeth Garrison,1792,Elizabeth,Garrison,,,,,,,,,artista,,0,,,,
Elizabeth Torres,1793,Elizabeth,Torres,,,,,,,,,artista,,0,,,,
Elio Berhanyer,1794,Elio,Berhanyer,,,,,,,,,artista,,0,,,,
Eliana Pérez,1795,Eliana,Pérez,,,,,,,,,artista,,0,,,,
Elena Mogollón,1796,Elena,Mogollón,,,,,,,,,artista,,0,,,,
Eldzier Cortor,1797,Eldzier,Cortor,,,,,,,,,artista,,0,,,,
Eladio Vélez,1798,Eladio,Vélez,,,,,,,,,artista,,0,,,,
El Lissitzky,1799,El,Lissitzky,,,,,,,,,artista,,0,,,,
Efraín Cardenas,1800,Efraín,Cardenas,,,,,,,,,artista,,0,,,,
Efraín García,1801,Efraín,García,,,,,,,,,artista,,0,,,,
Efraín Plested,1802,Efraín,Plested,,,,,,,,,artista,,0,,,,
Eegyvudluk,1803,Eegyvudluk,,,,,,,,,,artista,,0,,,,
Edward  Ruscha,1804,Edward,Ruscha,,,,,,,,,artista,,0,,,,
Edward Penfield,1805,Edward,Penfield,,,,,,,,,artista,,0,,,,
Edurdo Paolozzi,1806,Edurdo,Paolozzi,,,,,,,,,artista,,0,,,,
Eduardo Arroyo,1807,Eduardo,Arroyo,,,,,,,,,artista,,0,,,,
Eduardo Cohen,1808,Eduardo,Cohen,,,,,,,,,artista,,0,,,,
