id_expo,id_obra,nombre_expo,nombre_obra,ano
ex.282,o.2768,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,In a dark time*David Becker*1973,1984
ex.282,o.2677,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Blue Moon*Alexander Calder*1974,1984
ex.282,o.2115,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Sugar hill*John Paul Jones*1970,1984
ex.282,o.2598,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Sin título*John Paul Jones*1971,1984
ex.282,o.2612,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Sin título*Ellsworth Kelly*1969,1984
ex.282,o.2546,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Backyard iv*Robert Kipniss*1974,1984
ex.282,o.2964,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Sin título*Robert Kipniss*1979,1984
ex.282,o.2548,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Bleeding heart*Mauricio Lasansky*1970,1984
ex.282,o.2500,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,The explosive immediacy of statement*Roy Lichtenstein*1969,1984
ex.282,o.2501,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,We are all one*Richard Lindner*1969,1984
ex.282,o.2599,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Sin título*John McLaughlin*1963,1984
ex.282,o.2502,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Morning with judd*Peter Milton*1968,1984
ex.282,o.2503,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Return*Peter Milton*1969,1984
ex.282,o.2504,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,"De la serie: THE JOLLY CORNER SUITE, III:1*Peter Milton*1971",1984
ex.282,o.2853,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Passage III*Peter Milton*1972,1984
ex.282,o.2505,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Sin título*Robert Motherwell*1969,1984
ex.282,o.2856,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Night Flower II*Kenjilo Nanao*1977,1984
ex.282,o.2621,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Seamster of Venus —Homenaje a Burroughs—*Robert Nelson*1970,1984
ex.282,o.2622,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,SARKS -hommage a Burroughs-*Robert Nelson*1970,1984
ex.282,o.2623,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,"Hommage  to burroughs, flight series*Robert Nelson*1970",1984
ex.282,o.2506,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Dusk in august*Louise Nevelson*1969,1984
ex.282,o.2674,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Sky shadow*Louise Nevelson*1973,1984
ex.282,o.2758,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Sin título no. 6*Louise Nevelson*1973,1984
ex.282,o.2508,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Mask of ghent*Thom O'Connor*1968,1984
ex.282,o.2509,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Face*Henry Pearson*1969,1984
ex.282,o.2973,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Pacific*Gabor Peterdi*1971,1984
ex.282,o.2679,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Composition for peace portfolio*Robert Rauschenberg*1970,1984
ex.282,o.3080,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Maids and other Servants: THE BUTLER*Charles Roth*1979,1984
ex.282,o.3039,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Man walking away from it all*Edward Ruscha*1980,1984
ex.282,o.2153,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Oxygen no. 16*Masaaki Sato*1980,1984
ex.282,o.2544,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Sin título*Saúl Steinberg*1969,1984
ex.282,o.2545,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Ponope*Carol Summers*1969,1984
ex.282,o.2540,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Perspective Shadow Man*Ernest Trova*1972,1984
ex.282,o.2678,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Campbell's soup -tomato*Andy Warhol*1971,1984
ex.282,o.2559,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Wouldst thou have daly for thy king*William Weege*1968,1984
ex.282,o.2547,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Black-eyed susans*Richard Claude Ziemann*1970,1984
ex.282,o.3091,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,"History of Printmaking: Durer at 23, in love. His bags are stolen*Warrington Colescott*1976",1984
ex.282,o.2538,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Watertower*Allan D'Arcangelo*1973,1984
ex.282,o.2757,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Beginning*Allan D'Arcangelo*1975,1984
ex.282,o.2613,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Sin título*Willem De Kooning*1969,1984
ex.282,o.2755,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Paintbrush*Jim Dine*1971,1984
ex.282,o.2605,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Sin título*Sam Francis*1969,1984
ex.282,o.2706,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Olympia and ollie*Milton Glaser*1974,1984
ex.282,o.2611,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,Love*Robert Indiana*1969,1984
ex.288,o.3957,Este Petróleo me Pertenece*1984,Cuadro de los machetes*Rolando Peña*1984,1984
ex.289,o.2173,John Grillo*1984,Sin título*John Grillo*1980,1984
ex.290,o.3956,Roser Bru y Eugenio Dittborn*1984,Díptico de Kafka y milena*Roser Bru*1980,1984
ex.297,o.2331,Aspectos de lo Tridimensional en el Arte Colombiano*1984,Relicario de tres cabezas*Jim Amaral*1973,1984
ex.297,o.2309,Aspectos de lo Tridimensional en el Arte Colombiano*1984,Estrella de mar*Feliza Bursztyn*1974,1984
ex.297,o.1903,Aspectos de lo Tridimensional en el Arte Colombiano*1984,Relieve*Beatriz Daza*1966,1984
ex.297,o.2327,Aspectos de lo Tridimensional en el Arte Colombiano*1984,Homenaje al preso político*Enrique Grau*1981,1984
ex.297,o.2689,Aspectos de lo Tridimensional en el Arte Colombiano*1984,Raquel*María de la Paz Jaramillo*1974,1984
ex.297,o.2308,Aspectos de lo Tridimensional en el Arte Colombiano*1984,Escalera*Édgar Negret*1970,1984
ex.297,o.2330,Aspectos de lo Tridimensional en el Arte Colombiano*1984,Columna flor*Eduardo Ramírez Villamizar*1982,1984
ex.297,o.2301,Aspectos de lo Tridimensional en el Arte Colombiano*1984,Construccion casi simetrica*Eduardo Ramírez Villamizar*1968,1984
ex.297,o.2531,Aspectos de lo Tridimensional en el Arte Colombiano*1984,For mr. Y. A.*Ómar Rayo*1963,1984
ex.297,o.2535,Aspectos de lo Tridimensional en el Arte Colombiano*1984,Only for men*Ómar Rayo*1963,1984
ex.297,o.2303,Aspectos de lo Tridimensional en el Arte Colombiano*1984,Cajas*Bernardo Salcedo*1969,1984
ex.297,o.2318,Aspectos de lo Tridimensional en el Arte Colombiano*1984,Evita e isabelita*Bernardo Salcedo*1976,1984
ex.306,o.2179,Alicia Viteri*1985,Funeral*Alicia Viteri*1984,1985
ex.306,o.3192,Alicia Viteri*1985,Mujer 4*Alicia Viteri*1982,1985
ex.312,o.3968,Salón de Arte Joven - Medalla Martha Traba*1985,De Ossaba a Manet*Mario Ossaba*1984,1985
ex.314,o.2180,A Cali*1985,De la Serie: PAREJAS*María de la Paz Jaramillo*1985,1985
ex.315,o.3972,Oscar Muñoz Serie pinturas de agua*1985,De la serie: PINTURAS DE AGUA*Óscar Muñoz*1985,1985
ex.320,o.2225,Otto Moll González Antología Fotográfica 1939 –1968*1986,Puente del comercio Cali-Palmira*Otto Moll González*1953,1986
