id_nodo,nombre_nodo,ano_apa,subclass,attr,class_nodo
o.2664,Camouflage*Fernando Grillon*1973,1973,bidimensional,Fernando Grillon,obra
o.2570,Sonata para la invencion de un sueño*Fernando Ramos Prida*1971,1971,bidimensional,Fernando Ramos Prida,obra
o.3345,Despues de la fiesta*Fernando Tovar*1988,1988,bidimensional,Fernando Tovar,obra
o.2574,Señal #11*Fernando Vilchis*1971,1971,bidimensional,Fernando Vilchis,obra
o.2023,Sin título*Félix Beltrán*1971,1971,bidimensional,Félix Beltrán,obra
o.2861,Sol y tierra*Feliciano Bejar*1977,1977,bidimensional,Feliciano Bejar,obra
o.2662,Diana*Federico Cantu*1973,1973,bidimensional,Federico Cantu,obra
o.3454,Sin título*Federico Orozco*1995,1995,bidimensional,Federico Orozco,obra
o.3489,Metele en mi Pecho*Fabiola Roncancio*1997,1997,bidimensional,Fabiola Roncancio,obra
o.3174,Sin título*Fabio Daza*1986,1986,bidimensional,Fabio Daza,obra
o.2202,Sin título*Fabio Serrano*,n/a,bidimensional,Fabio Serrano,obra
o.3442,Vientos*Fabián Rendón*1996,1996,bidimensional,Fabián Rendón,obra
o.3548,Sin título*Ever Fonseca*1985,1985,bidimensional,Ever Fonseca,obra
o.4024,Sin título*Ernesto Barreda*1966,1966,bidimensional,Ernesto Barreda,obra
o.2540,Perspective Shadow Man*Ernest Trova*1972,1972,bidimensional,Ernest Trova,obra
o.3102,Sin título*Broglia*1974,1974,bidimensional,Broglia,obra
o.3507,Sin título*Enrique Buenaventura*1978,1978,bidimensional,Enrique Buenaventura,obra
o.3179,Sin título*Enrique Sánchez*1986,1986,bidimensional,Enrique Sánchez,obra
o.2684,Sin título*Enrique Tábara*1974,1974,bidimensional,Enrique Tábara,obra
o.2580,Harriet 2013*Emilio Ortiz*1972,1972,bidimensional,Emilio Ortiz,obra
o.2807,Sin título*Emilio Scanavino*1976,1976,bidimensional,Emilio Scanavino,obra
o.3452,Sin título*Elsa Zambrano*1995,1995,bidimensional,Elsa Zambrano,obra
o.2612,Sin título*Ellsworth Kelly*1969,1969,bidimensional,Ellsworth Kelly,obra
o.2408,Sin título*Elizabeth Saavedra*1990,1990,bidimensional,Elizabeth Saavedra,obra
o.3138,Pedernales*Elba Damast*1982,1982,bidimensional,Elba Damast,obra
o.2405,Sin título*Efraim Martínez*1926,1926,bidimensional,Efraim Martínez,obra
o.3039,Man walking away from it all*Edward Ruscha*1980,1980,bidimensional,Edward Ruscha,obra
o.3128,En ese arisco pedregal*Eduardo Cervantes*1981,1981,bidimensional,Eduardo Cervantes,obra
