id_nodo,nombre_nodo,ano_apa,subclass,attr,class_nodo
ex.32,Apuntes de Viaje*1959,1959,individual,desconocido,expo
ex.33,Jaime López Correa*1959,1959,individual,desconocido,expo
ex.34,Exposición de libros y caricaturas españolas*1959,1959,colectiva,desconocido,expo
ex.35,Leandro Velasco*1959,1959,individual,si,expo
ex.36,Arboleda*1959,1959,individual,si,expo
ex.37,Exposición de carteles cinematográficos*1959,1959,colectiva,desconocido,expo
ex.38,Alberto Gutiérrez*1960,1960,individual,si,expo
ex.39,Exposición de Acuarelas*1960,1960,individual,si,expo
ex.40,16 pinturas de Juan Antonio Roda*1960,1960,individual,si,expo
ex.41,David Manzur*1960,1960,individual,si,expo
ex.42,A. Rivera G.*1960,1960,individual,si,expo
ex.43,Oleos recientes de Marielle Muheim*1960,1960,individual,si,expo
ex.44,Hernando Tejada*1960,1960,individual,desconocido,expo
ex.45,Jan Palmer y S. Crawford*1960,1960,colectiva,si,expo
ex.46,Sessano*1960,1960,individual,si,expo
ex.47,Samuel Montealegre dibujos*1960,1960,individual,si,expo
ex.48,Leandro Velasco*1960,1960,individual,si,expo
ex.49,Elio Berhanyer*1960,1960,individual,desconocido,expo
ex.50,Exposición Colectiva de Pintura*1960,1960,colectiva,si,expo
ex.51,Óleos*1961,1961,individual,si,expo
ex.52,Exposición infantil intercolegial*1961,1961,colectiva,desconocido,expo
ex.53,Pinturas y anti-pinturas*1961,1961,individual,si,expo
ex.54,Exposición de Grabados*1961,1961,individual,si,expo
ex.55,Pinturas de Fanny Buitrago *1961,1961,individual,si,expo
ex.56,Mi viaje a Israel*1961,1961,individual,desconocido,expo
ex.57,Alejandro Obregón y Julio Abril*1961,1961,colectiva,desconocido,expo
ex.58,Emma Reyes*1961,1961,individual,si,expo
ex.59,Herrán - Pinturas*1961,1961,individual,si,expo
ex.60,Exposición de dibujo de los alienados de San Isidro*1961,1961,colectiva,desconocido,expo
ex.61,Pinturas 1961*1961,1961,individual,si,expo
ex.62,Leandro Velasco*1961,1961,individual,si,expo
ex.63,"Arboleda, Martínez, Eggen*1961",1961,colectiva,si,expo
ex.64,Exposición de Renée Alis*1962,1962,individual,desconocido,expo
ex.65,Exposición de pinturas de Gerardo Negret*1962,1962,individual,desconocido,expo
ex.66,Pinturas de Armando Villegas y Cerámicas de Alicia Tafur*1962,1962,colectiva,si,expo
ex.67,Óscar Pantoja*1962,1962,individual,si,expo
ex.68,Exposición de pintura Iiformalista española*1962,1962,colectiva,desconocido,expo
ex.69,Exposición de pintura colombiana*1962,1962,colectiva,desconocido,expo
ex.70,Alberto Gutiérrez*1962,1962,individual,si,expo
ex.71,Gerardo Negret*1962,1962,individual,si,expo
ex.72,Lucy Tejada y Jan Bartelsman*1962,1962,colectiva,desconocido,expo
ex.73,Exposición de carteles*1963,1963,colectiva,desconocido,expo
ex.74,Jan Bartelsman*1963,1963,individual,desconocido,expo
ex.75,Herrán - Pinturas*1963,1963,individual,si,expo
ex.76,Exposición-homenaje de Gerardo Negret 1963*1963,1963,individual,desconocido,expo
ex.77,XV Salón de Artistas Colombianos*1963,1963,colectiva,si,expo
ex.78,Pintura Moderna Ecuatoriana*1964,1964,colectiva,si,expo
ex.79,Exposición comparativa de afiches y estadísticas*1964,1964,colectiva,desconocido,expo
ex.80,Génesis*1964,1964,individual,si,expo
ex.81,Exposición Lemaitre sobre el tema del caballero*1964,1964,colectiva,desconocido,expo
ex.82,Alcántara*1964,1964,individual,si,expo
ex.83,José Mina*1964,1964,individual,si,expo
ex.84,IV Festival Nacional de Arte*1964,1964,colectiva,si,expo
ex.85,Óscar Pantoja*1964,1964,individual,desconocido,expo
ex.86,Nirma Zárate *1964,1964,individual,desconocido,expo
ex.87,Lucy Tejada*1964,1964,individual,si,expo
ex.88,María Luisa Andino*1964,1964,individual,si,expo
ex.89,Jan Bartelsman y Alberto Gutiérrez*1964,1964,colectiva,si,expo
ex.90,Enrique Grau*1965,1965,individual,desconocido,expo
ex.91,Augusto Rivera*1965,1965,individual,si,expo
ex.92,Hernando Tejada*1965,1965,individual,si,expo
ex.93,Alejandro Obregón*1965,1965,individual,desconocido,expo
ex.94,Angelino Osvaldo Lauvivi*1965,1965,individual,desconocido,expo
ex.95,Lucy Tejada*1965,1965,individual,desconocido,expo
ex.96,Jan Bartelsman*1965,1965,individual,desconocido,expo
ex.97,Beatriz González*1965,1965,individual,si,expo
ex.98,Pedro Alcántara*1965,1965,individual,si,expo
ex.99,Exposición de joyas y esmaltes bolivianos y piedras del Lago Titicaca*1965,1965,colectiva,desconocido,expo
ex.100,Exposición sobre el libro francés*1966,1966,colectiva,desconocido,expo
ex.101,Sofía Urrutia y Graciela Samper de Bermudez*1966,1966,colectiva,si,expo
ex.102,Antonio Grass Óleo*1966,1966,individual,si,expo
ex.103,Lamiel*1966,1966,individual,si,expo
ex.104,Jaime Mendoza*1966,1966,individual,desconocido,expo
ex.105,Ómar Rayo*1966,1966,individual,desconocido,expo
ex.106,Gerardo Ravassa*1966,1966,individual,desconocido,expo
ex.107,Exposición de pintura infantil*1966,1966,colectiva,desconocido,expo
ex.108,Jan Bartelsman*1966,1966,individual,desconocido,expo
ex.109,Enrique Grau*1966,1966,individual,desconocido,expo
ex.110,Mario Abreu*1966,1966,individual,si,expo
ex.111,Exposición de artesanía*1966,1966,colectiva,desconocido,expo
ex.112,Aurora Brown*1966,1966,individual,desconocido,expo
ex.113,Maria Thereza Negreiros*1967,1967,individual,si,expo
ex.114,Lucy Tejada*1967,1967,individual,si,expo
ex.115,Nereo López*1967,1967,individual,desconocido,expo
ex.116,Alejandro Obregón*1967,1967,individual,si,expo
ex.117,Luis Caballero*1967,1967,individual,si,expo
ex.118,Jan Bartelsman*1967,1967,individual,si,expo
ex.119,Manzur*1967,1967,individual,si,expo
ex.120,Exposición de artesanía*1967,1967,colectiva,si,expo
ex.121,Isabel Cuervo Casabianca*1967,1967,individual,si,expo
ex.122,Mario Gordillo*1968,1968,individual,si,expo
ex.123,Exposición de alumnas de la Academia Martenot*1968,1968,colectiva,desconocido,expo
ex.124,VIII Festival Nacional de Arte - I Salón Austral y Colombiano de Pintura*1968,1968,colectiva,si,expo
ex.125,Irma Constanzo*1967,1967,individual,desconocido,expo
ex.126,Santiago Cárdenas*1968,1968,individual,si,expo
ex.127,León Ricaurte*1968,1968,individual,si,expo
ex.128,Arte Virreinal Americano*1968,1968,colectiva,si,expo
ex.129,Exposición de artesanía*1968,1968,colectiva,desconocido,expo
ex.130,Pintura y Grabado Hoy en Venezuela*1968,1968,colectiva,si,expo
ex.131,María Teresa Vieco*1969,1969,individual,desconocido,expo
ex.132,Édgar Negret*1969,1969,individual,desconocido,expo
ex.133,Lucy Tejada*1969,1969,individual,si,expo
ex.134,Exposición de Álvaro Barrios*1969,1969,individual,desconocido,expo
ex.135,Gianfranco Galante*1969,1969,individual,si,expo
ex.136,Rogelio Polesello y Lya Kaufman*1969,1969,colectiva,si,expo
ex.137,Enrique Grau*1969,1969,individual,si,expo
ex.138,XX Salón de Artistas Nacionales*1969,1969,colectiva,desconocido,expo
ex.139,Exposición de arte gráfico alemán contemporáneo *1969,1969,colectiva,desconocido,expo
ex.140,José Mina*1969,1969,individual,si,expo
ex.141,IX Festival de Arte - Salón de Las Américas de Pintura*1969,1969,colectiva,desconocido,expo
ex.142,IX Festival de Arte - Salón de Las Américas de Dibujo y Grabado*1969,1969,colectiva,desconocido,expo
ex.143,Muestra de pintura infantil*1969,1969,colectiva,desconocido,expo
ex.144,Jan Bartelsman*1969,1969,individual,desconocido,expo
ex.145,Exposición de grabado mexicano*1969,1969,colectiva,desconocido,expo
ex.146,Eduardo McEntyre*1969,1969,individual,si,expo
ex.147,Gustavo Espinosa*1970,1970,individual,si,expo
ex.148,Feliza Burztyn*1970,1970,individual,desconocido,expo
ex.149,Enrique Tábara*1970,1970,individual,si,expo
ex.150,Pedro Alcántara*1970,1970,individual,desconocido,expo
ex.151,El Hombre y sus Pensamientos a través del Arte*1970,1970,colectiva,si,expo
ex.152,David Manzur y Augusto Rivera*1970,1970,colectiva,si,expo
ex.153,Símbolos*1970,1970,individual,si,expo
ex.154,XX Festival de Arte - Exposición Panamericana de Artes Gráficas y Plásticas*1970,1970,colectiva,desconocido,expo
ex.155,Muestra de pintura argentina*1971,1971,colectiva,desconocido,expo
ex.156,Lazid Thame y Clever Machado*1971,1971,colectiva,desconocido,expo
ex.157,Festival Panamericano de Cultura - Brasil*1971,1971,colectiva,si,expo
ex.158,Oswaldo Guayasamín*1971,1971,individual,desconocido,expo
ex.159,21 Obras*1971,1971,colectiva,si,expo
ex.160,Salón de Artistas Vallecaucanos*1971,1971,colectiva,desconocido,expo
ex.161,Exposición de fotografía norteamericana*1971,1971,colectiva,desconocido,expo
ex.162,Exposición de figuras artesanales de santos primitivos y de grabados de Henández Cruz*1971,1971,colectiva,desconocido,expo
ex.163,Exposición de arte ecuatoriano*1971,1971,colectiva,desconocido,expo
ex.164,Cien Años de Soledad y Otros*1971,1971,individual,si,expo
ex.165,I Bienal Americana de Artes Gráficas de Cali*1971,1971,colectiva,desconocido,expo
ex.166,Diez Años de Arte Colombiano*1971,1971,colectiva,si,expo
ex.167,Grabados de Peter Milton*1972,1972,individual,si,expo
ex.168,La Constante Geométrica en la Obra de Ómar Rayo*1972,1972,individual,si,expo
ex.169,"Grabados de Artistas Británicos, 1945-1957*1972",1972,colectiva,si,expo
ex.170,Eduardo Ramírez Villamizar*1972,1972,individual,si,expo
ex.171,Salón de Arte Joven 1972*1972,1972,colectiva,desconocido,expo
ex.172,La Obra Gráfica de Lorenzo Homar*1972,1972,individual,si,expo
ex.173,Juan Antonio Roda*1972,1972,individual,si,expo
ex.174,Grabados Cartón de Colombia*1972,1972,colectiva,si,expo
ex.175,Lazid Thame*1973,1973,individual,desconocido,expo
ex.176,Exposición de Gabrio Tosti Di Valminuta*1973,1973,individual,si,expo
ex.177,Brassai*1973,1973,individual,si,expo
ex.178,Exposición de la serie Laus Pictorum*1973,1973,individual,desconocido,expo
ex.179,Enrique Grau Obra  1962 / 1972*1973,1973,individual,si,expo
ex.180,Exposición de Noe Nojechowiz*1973,1973,individual,si,expo
ex.181,II Bienal Americana de Artes Gráficas de Cali*1973,1973,colectiva,desconocido,expo
ex.182,Exposición-homenaje de los artistas al Museo*1973,1973,colectiva,desconocido,expo
ex.183,Eduardo Lemaitre*1974,1974,individual,desconocido,expo
ex.184,Exposición del Grupo Grabas*1974,1974,colectiva,desconocido,expo
ex.185,Pinturas de Luis Caballero*1974,1974,individual,desconocido,expo
ex.186,Exposición de Rodolfo Abularach*1974,1974,individual,desconocido,expo
ex.187,Imagen 6*1974,1974,colectiva,desconocido,expo
ex.188,Cali a la Vanguardia*1974,1974,colectiva,desconocido,expo
ex.189,Camas*1974,1974,individual,desconocido,expo
ex.190,Exposición de Grabado Latino-americano*1974,1974,colectiva,desconocido,expo
ex.191,Carlos Rojas*1974,1974,individual,si,expo
ex.192,Emilio Sánchez*1974,1974,individual,si,expo
ex.193,Grabados 74 - Serie Internacional*1975,1975,colectiva,desconocido,expo
ex.194,28 Artistas del Brasil*1975,1975,colectiva,desconocido,expo
ex.195,Palabra e Imagen*1975,1975,colectiva,si,expo
ex.196,XXV Salón Nacional de Artes Visuales*1975,1975,colectiva,desconocido,expo
ex.197,Carlos Cruz Diez Obras Sobre el Muro: Graficas e Integración Arquitectónica*1975,1975,individual,si,expo
ex.198,Kipniss*1975,1975,individual,si,expo
ex.199,Exposición Mundial de Prensa*1975,1975,individual,desconocido,expo
ex.200,Mauricio Bueno*1975,1975,individual,si,expo
ex.201,Seis Artistas Colombianos*1975,1975,colectiva,si,expo
ex.202,Exposición de Miguel Torres Méndez*1975,1975,individual,desconocido,expo
ex.203,Serie de Grabados Colección Cartón de Colombia 75*1976,1976,colectiva,desconocido,expo
ex.204,Artistas Gráficos Británicos de la Década del 60*1976,1976,colectiva,si,expo
ex.205,Muestra de arte colombiano de la Colección del Museo de Arte Moderno La Tertulia 1976*1976,1976,colectiva,desconocido,expo
ex.206,Muestra de la Colección de Arte de la Iglesia La Merced*1976,1976,colectiva,desconocido,expo
ex.207,III Bienal Americana de Artes Gráficas de Cali*1976,1976,colectiva,desconocido,expo
ex.208,Publicación: Portafolio de serigrafías*1976,1976,colectiva,desconocido,expo
ex.209,Beatriz González*1976,1976,individual,si,expo
ex.210,Exposición de la Plástica Cubana Actual*1976,1976,colectiva,si,expo
ex.211,Migraciones*1976,1976,colectiva,desconocido,expo
ex.212,Serie de Grabados Colección Cartón de Colombia 76*1977,1977,colectiva,desconocido,expo
ex.213,20 Artistas Jóvenes Suizos*1977,1977,colectiva,si,expo
ex.214,Exposición de Barbara Hepworth*1977,1977,individual,desconocido,expo
ex.215,Seis Artistas Premiados en la III Bienal de Artes Gráficas*1977,1977,colectiva,si,expo
ex.216,II Salón Nacional de Arte Jóven *1977,1977,colectiva,si,expo
ex.217,Colección Banco Cafetero*1977,1977,colectiva,desconocido,expo
ex.218,Exposición de grabado yugo-eslavo*1977,1977,colectiva,desconocido,expo
ex.219,Segundo Portafolio 8 Artistas Latinoamericanos*1977,1977,colectiva,si,expo
ex.220,Muestra de escultura colombiana de la Colección de Museo de Arte Moderno La Tertulia 1977*1977,1977,colectiva,desconocido,expo
ex.221,Luis Camnitzer y Liliana Porter*1978,1978,colectiva,si,expo
ex.222,Gabriel Messil*1978,1978,individual,si,expo
ex.223,Pintura y Escultura Colombiana de los Años 30*1978,1978,colectiva,si,expo
ex.224,Grabadores Norteamericanos*1978,1978,colectiva,si,expo
ex.225,Brecht en las Artes Gráficas de la República Democrática Alemana*1978,1978,colectiva,desconocido,expo
ex.226,El Grabado Norteamericano en la Colección del Museo de Arte Moderno La Tertulia*1978,1978,colectiva,si,expo
ex.227,Acrílicos*1978,1978,colectiva,si,expo
ex.228,Fotografía Colombiana*1978,1978,colectiva,si,expo
ex.229,Richard Smith*1979,1979,individual,si,expo
ex.230,Obregon*1979,1979,individual,si,expo
ex.231,Exposición conmemorativa de los 23 años de vida del Museo de Arte Moderno La Tertulia*1979,1979,colectiva,desconocido,expo
ex.232,Helen Frankenthaler*1979,1979,individual,si,expo
ex.233,"Ever Astudillo, Fernell Franco, Óscar Muñoz*1979",1979,colectiva,si,expo
ex.234,Baila Mécanica*1979,1979,individual,si,expo
ex.235,Oleos litografías Robert Kipniss*1980,1980,individual,si,expo
ex.236,La Mujer En Las Artes Visuales*1980,1980,colectiva,si,expo
ex.237,Arte de los 80*1980,1980,colectiva,desconocido,expo
ex.238,Fotografías Francois Dolmetsch*1980,1980,individual,si,expo
ex.239,Juan Camilo Uribe Telescopios y Álvaro Barrios Sueños con Marcel Duchamp*1980,1980,colectiva,si,expo
ex.240,1960–1980 Alcántara*1980,1980,individual,si,expo
ex.241,Serie Amazónica*1980,1980,individual,si,expo
ex.242,María de la Paz Jaramillo y Óscar Jaramillo*1980,1980,colectiva,si,expo
ex.243,IV Bienal Americana de Artes Gráficas*1981,1981,colectiva,si,expo
ex.244,Jónier Marín*1981,1981,individual,si,expo
ex.245,Exposición Mail-art*1981,1981,colectiva,desconocido,expo
ex.246,Decoración de Interiores*1981,1981,individual,desconocido,expo
ex.247,Manuel Hernández*1981,1981,individual,si,expo
ex.248,Primera Expomarca Latinoamericana*1982,1982,colectiva,si,expo
ex.249,La Tauromaquia*1982,1982,individual,desconocido,expo
ex.250,Artistas Modernos como Ilustradores*1982,1982,colectiva,desconocido,expo
ex.251,Los Caminos del Bien y del Mal*1982,1982,individual,si,expo
ex.252,Exposición de Pablo Obelar*1982,1982,individual,desconocido,expo
ex.253,Santiago Cárdenas*1982,1982,individual,si,expo
ex.254,Emilio Sánchez*1982,1982,individual,desconocido,expo
ex.255,Consagrados Maestros Jóvenes*1982,1982,colectiva,si,expo
ex.256,Yutaka Toyota*1982,1982,individual,si,expo
ex.257,Alexis Gorodine*1982,1982,individual,si,expo
ex.258,Gráfica Contemporanea de la Republica Democrática Alemana*1982,1982,colectiva,si,expo
ex.259,Muestra de arte figurativo latino-americano*1982,1982,colectiva,desconocido,expo
ex.260,Delia Cugat*1982,1982,individual,si,expo
ex.261,Exposición de Fernando de Szyszlo*1983,1983,individual,desconocido,expo
ex.262,Actitudes Plurales*1983,1983,colectiva,si,expo
ex.263,Geometría e Ilusión*1983,1983,colectiva,desconocido,expo
ex.264,Exposición de Bruno Bruni*1983,1983,individual,desconocido,expo
ex.265,Seis Maestros Cubanos*1983,1983,colectiva,si,expo
ex.266,Kunito Nagaoka*1983,1983,individual,si,expo
ex.267,Carmen Aldunate*1983,1983,individual,si,expo
ex.268,Sergio Camporeale*1983,1983,individual,desconocido,expo
ex.269,Fotografismo*1983,1983,individual,si,expo
ex.270,Muestra de arte gráfico mexicano de la Colección del Museo de Arte Moderno La Tertulia*1983,1983,colectiva,desconocido,expo
ex.271,Muestra de realismo colombiano de la Colección del Museo de Arte Moderno La Tertulia*1983,1983,colectiva,desconocido,expo
ex.272,Muestra de arte colombiano de la Colección del Museo de Arte Moderno La Tertulia 1983*1983,1983,colectiva,desconocido,expo
ex.273,Dibujos de Ficciones*1983,1983,individual,desconocido,expo
ex.274,Antonio Barrera *1983,1983,individual,si,expo
ex.275,José Hernández*1983,1983,individual,si,expo
ex.276,Doce Artistas Gráficos del Brasil*1983,1983,colectiva,si,expo
ex.277,Liliana Porter *1983,1983,individual,si,expo
ex.278,Bienal de Arquitectura*1983,1983,colectiva,desconocido,expo
ex.279,Rogelio Polesello*1983,1983,individual,si,expo
ex.280,Emma Reyes*1983,1983,individual,desconocido,expo
ex.281,Mario Gordillo*1984,1984,individual,desconocido,expo
ex.282,Muestra de arte gráfico norte-americano de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,1984,colectiva,si,expo
ex.283,1er. Salón OP de Diseño Gráfico*1984,1984,colectiva,si,expo
ex.284,"Bachs, carteles cinematográficos*1984",1984,individual,desconocido,expo
ex.285,Muestra de pintura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1984*1984,1984,colectiva,desconocido,expo
ex.286,Exposición de Marta Minujin*1984,1984,individual,si,expo
ex.287,Audivert*1984,1984,individual,si,expo
ex.288,Este Petróleo me Pertenece*1984,1984,individual,si,expo
ex.289,John Grillo*1984,1984,individual,si,expo
ex.290,Roser Bru y Eugenio Dittborn*1984,1984,colectiva,si,expo
ex.291,"Pedro Alcántara, Óscar Muñoz y Guilermo Vélez*1984",1984,colectiva,desconocido,expo
ex.292,Cruz Diez*1984,1984,individual,si,expo
ex.293,Joyas-sorpresa: el Uso de Materiales Alternativos en la Joyería Norte-americana*1984,1984,colectiva,desconocido,expo
ex.294,Acuarelistas Colombianos*1984,1984,colectiva,si,expo
ex.295,Tiempo de Dibujar*1984,1984,colectiva,desconocido,expo
ex.296,Portafolio-homenaje a Pablo Neruda*1984,1984,colectiva,desconocido,expo
ex.297,Aspectos de lo Tridimensional en el Arte Colombiano*1984,1984,colectiva,si,expo
ex.298,Muestra retrospectiva de Artes Gráficas Panamericanas/AGPA *1984,1984,colectiva,desconocido,expo
ex.299,Margarita Lozano*1984,1984,individual,si,expo
ex.300,Exposición de Édgar Negret 1985-1*1985,1985,individual,si,expo
ex.301,Exposición de Édgar Negret 1985-2*1985,1985,individual,si,expo
ex.302,Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1985*1985,1985,colectiva,desconocido,expo
ex.303,Teyé*1985,1985,individual,si,expo
ex.304,Exposición de Débora Arango 1985*1985,1985,individual,desconocido,expo
ex.305,La Nación: Los Judíos Españoles y Portugueses en la Zona del Caribe*1985,1985,colectiva,desconocido,expo
ex.306,Alicia Viteri*1985,1985,individual,si,expo
ex.307,Historia Abierta del Arte Colombiano*1985,1985,colectiva,desconocido,expo
ex.308,Pedro Alcántara *1985,1985,individual,si,expo
ex.309,Exposición de grabado norteamericano*1985,1985,colectiva,desconocido,expo
ex.310,Exposición de arte americano*1985,1985,colectiva,desconocido,expo
ex.311,Exposición de Francisco Rocca-Lynn*1985,1985,individual,si,expo
ex.312,Salón de Arte Joven - Medalla Martha Traba*1985,1985,colectiva,desconocido,expo
ex.313,La Cámara Lúcida*1985,1985,colectiva,desconocido,expo
ex.314,A Cali*1985,1985,individual,si,expo
ex.315,Oscar Muñoz Serie pinturas de agua*1985,1985,individual,si,expo
ex.316,Muestra de la subasta de antigüedades del Museo de Arte Moderno La Tertulia*1985,1985,colectiva,desconocido,expo
ex.317,Homenaje de Propal a su Ciudad*1985,1985,colectiva,desconocido,expo
ex.318,Carpeta de Grabados de Cartón de Colombia S.A. *1985,1985,colectiva,desconocido,expo
ex.319,El Arte Descubre un Mundo*1986,1986,individual,desconocido,expo
ex.320,Otto Moll González Antología Fotográfica 1939 –1968*1986,1986,individual,si,expo
ex.321,Exposición de arte gráfico latinoamericano*1986,1986,colectiva,desconocido,expo
ex.322,Rodolfo Vélez*1986,1986,individual,si,expo
ex.323,Recuerdos de Machu Picchu*1986,1986,individual,desconocido,expo
ex.324,Eduardo Ramírez Villamizar*1986,1986,individual,si,expo
ex.325,Diego Arango Arango*1986,1986,individual,si,expo
ex.326,Exposición didáctica de Arcangelo Ianelli*1986,1986,individual,desconocido,expo
ex.327,Mónica Meira*1986,1986,individual,si,expo
ex.328,Exposición de Arcangelo Ianelli*1986,1986,individual,desconocido,expo
ex.329,María Cristina Cortés*1986,1986,individual,si,expo
ex.330,Muestra de 100 obras de la Colección del Museo de Arte Moderno La Tertulia*1986,1986,colectiva,desconocido,expo
ex.331,Arte sobre Tela*1986,1986,colectiva,si,expo
ex.332,V Bienal Americana de Artes Gráficas de Cali*1986,1986,colectiva,desconocido,expo
ex.333,Muestra de grabado de la Colección del Banco de Occidente*1987,1987,colectiva,desconocido,expo
ex.334,Flor María Bouhot*1987,1987,individual,si,expo
ex.335,Muestra de adquisiciones del Museo de Arte Moderno La Terulia del año 1986*1987,1987,colectiva,desconocido,expo
ex.336,José Luis Fajardo*1987,1987,individual,si,expo
ex.337,Sergio Camporeale*1987,1987,individual,si,expo
ex.338,Alejandro Obregón*1987,1987,individual,desconocido,expo
ex.339,Liliana Porter*1987,1987,individual,si,expo
ex.340,Andrés de Santamaría*1987,1987,individual,si,expo
ex.341,Frente Fotográfico Femenino*1987,1987,colectiva,desconocido,expo
ex.342,Luis Caballero Acuarelas y Dibujos*1987,1987,individual,si,expo
ex.343,Darío Jiménez Exposición antológica 1938 – 1980*1987,1987,individual,si,expo
ex.344,Muestra de arte tridimensional de la Colección del Museo de Arte Moderno La Tertulia 1987*1987,1987,colectiva,desconocido,expo
ex.345,Gustavo Zalamea *1987,1987,individual,si,expo
ex.346,Exposición de Delia Cugat 1987*1987,1987,individual,desconocido,expo
ex.347,Vivian Monsalve*1987,1987,individual,si,expo
ex.348,Enrique Sánchez*1987,1987,individual,si,expo
ex.349,4 Maestros Latinoamericanos*1987,1987,colectiva,si,expo
ex.350,Alberto Lenis Burckhardt*1987,1987,individual,si,expo
ex.351,Antonio Barrera *1987,1987,individual,si,expo
ex.352,Ossaba*1988,1988,individual,si,expo
ex.353,XIII Portafolio de Grabados Cartón de Colombia/AGPA*1987,1987,colectiva,desconocido,expo
ex.354,Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1988*1988,1988,colectiva,desconocido,expo
ex.355,Muestra de grabado americano de la Colección del Museo de Arte Moderno La Tertulia*1988,1988,colectiva,desconocido,expo
ex.356,Lydia Azout*1988,1988,individual,desconocido,expo
ex.357,Ever Astudillo*1988,1988,individual,desconocido,expo
ex.358,Maria Thereza Negreiros*1988,1988,individual,desconocido,expo
ex.359,Grabado Yugoslavo Contemporáneo*1988,1988,colectiva,desconocido,expo
ex.360,Una Interpretación de Caravaggio*1988,1988,individual,desconocido,expo
ex.361,Exposición de Efraim Martínez*1988,1988,individual,desconocido,expo
ex.362,Ocho Artistas Colombianos en la Colección del Museo*1988,1988,colectiva,desconocido,expo
ex.363,Ana María Rueda*1988,1988,individual,desconocido,expo
ex.364,Gráfica Erótica de Pablo Picasso*1988,1988,individual,desconocido,expo
ex.365,Muestra de carteles cinematográficos de la Colección de la Cinemateca La Tertulia 1988*1988,1988,colectiva,desconocido,expo
ex.366,Hilda Crovo Pinturas*1988,1988,individual,si,expo
ex.367,"Exposición de ilustraciones, diseño estructural y gráfico y fotografias del libro Los Cuentos de mi Abuelo el Coronel de Gabriel García Márquez*1988",1988,colectiva,desconocido,expo
ex.368,Exposición de carteles de artistas españoles contemporáneos*1988,1988,colectiva,desconocido,expo
ex.369,De la Edad de Piedra a los Computadores*1988,1988,individual,desconocido,expo
ex.370,Jan Bartelsman*1988,1988,individual,si,expo
ex.371,Juan Antonio Roda*1988,1988,individual,si,expo
ex.372,Diez Artistas Chilenos*1988,1988,colectiva,si,expo
ex.373,Daniel Zelaya*1988,1988,individual,desconocido,expo
ex.374,Hernando Hoyos Pinturas*1988,1988,individual,si,expo
ex.375,Roberto Angulo*1988,1988,individual,desconocido,expo
ex.376,Artistas Alemanes en America Latina: Pintores y Naturalista del Siglo XIX*1988,1988,colectiva,desconocido,expo
ex.377,XIV Portafolio de Grabados Cartón de Colombia/AGPA*1988,1988,colectiva,desconocido,expo
ex.378,Muestra de la Colección de Arte de Suramericana de Seguros*1988,1988,colectiva,desconocido,expo
