id_doc,nombre_documento,ano_creacion,mes_creacion,diseno_edicion,impresor,tipologia,formato_publicacion,encuadernacion_publicacion,digital,archivo_txt,ruta_txt,dim_cerrado_ancho,dim_cerrado_largo,num_modulos,area_cerrado,paleta_rgb,id_img_fk,Escanear,Notas
138,Rogelio Polesello,1983,Noviembre,"Rogelio Polesello, Photo Lettering S.A.",Gaglianone S.A.,Catálogo,Plegable,,0,,,27.8,29.6,6,822.88,,,,
139,1er. Salón OP de Diseño Gráfico,1983,Julio,Carlos Duque,OP Gráficas LTDA.,Programa de mano,Plegable,,0,,,16,22.9,6,366.4,,,si,
140,Fotografismo ,1983,Mayo,,,Invitación,Plegable,,0,,,11.5,23,4,264.5,,,,
141,IV Bienal Americana de Artes Gráficas,1981,Abril,Elena Mogollón,A. Sandri & Cía. Ltda,Catálogo,Libro,Encolado,0,,,24.2,22.7,110,549.34,,,si,Es un libro de mas de 100 paginas que muestra el contenido completo de la bienal.
142,Jornadas culturales del Brasil,1983,Septiembre,MF Publicidad,Intergrafic Ltda.,Programa de mano,Plegable,,1,,,9,22.9,8,206.1,,d160.pdf,,
143,Liliana Porter,1983,Octubre,,,Catálogo,Plegable,,0,,,16,25.5,6,408,,,si,Es un plegable tipo poster pero cuenta con una hoja suelta al interior con las exposiciones por año de la artista.
144,Seis maestros cubanos,1983,Marzo,Corpracion prográfica,Feriva Ltda.,Catálogo,Cuadernillo,Caballete,0,,,20.5,23.5,24,481.75,,,si,
145,Leandro Velasco,1961,Diciembre,,,Catálogo,Plegable,,0,,,21.5,7.9,4,169.85,,,,
146,Antonio Barrera,1983,Septiembre,,"Societé Nouvelle Offset 94 5, rue des ecoles, créteil",Catálogo,Cuadernillo,Caballete,0,,,26.5,21,18,556.5,,,si,
147,Cruz Diez,1984,Septiembre,,,"Programa de mano, Catalogo",Cuadernillo,Caballete,1,,,20.9,27,20,564.3,,d225.pdf,si,
148,Casa Museo Negret,1985,Enero,Elena Mogollón,OP gráficas Ltda,Programa de mano,Cuadernillo ,Caballete,0,,,21,21.5,18,451.5,,,,
149,Herrán-Pinturas,1963,Mayo,,,"Invitación, Catálogo, Programa de mano",Plegable,,1,,,10.3,24.5,6,252.35,,d40.pdf,,
150,Alcántara,1964,Abril,,,"Invitación, Pograma de mano",Plegable,,1,,,10,20,6,200,,d41.pdf,,
151,Jan Bartelsman y Alberto Gutiérrez,1964,Noviembre,,,Programa de mano,Plegable,,1,,,23,17.9,4,411.7,,d42.pdf,,
152,Pintura Moderna Ecuatoriana,1964,Febrero,,,Catálogo,Plegable,,1,,,14,21.5,4,301,,d43.pdf,,
153,Génesis,1964,Febrero,,,"Invitación, Catálogo, Programa de mano",Plegable,,1,,,8.7,23,4,200.1,,d44.pdf,,
154,IV Festival Nacional de Arte,1964,Junio,,,Catálogo,Plegable,,1,,,13.6,16,4,217.6,,d45.pdf,,
155,Ana María Rueda,1988,Mayo,,,"Programa de mano, Invitación",plegable,,0,,,21,24.5,6,514.5,,,si,"Son versiones impresas en serigrafia numeradas (42/500, 258/500)"
156,Colombia en tres dimensiones,1984,,"elena mogollón, Albanidia Ramírez",OP Gráficas ltda,Programa de mano,Librillo,Encolado,0,,,21,21,56,441,,,,
157,IV Festival Nacional de Arte,1964,Junio,,,Programa de mano de bolsillo,Cuadernillo ,Grapa lateral,0,,,13.6,21.5,8,292.4,,,si,documento complemento del salon nacional de arte
158,Roser Bru y Eugenio Dittborn,1984,Junio,"elena mogollón, Albanidia Ramírez",OP Gráficas ltda,Programa de mano,Cuadernillo ,Caballete,0,,,21,21,12,441,,,si,
