nombre_auspiciador,id_auspiciador,tipo,id_persona,id_organizacion
Federación Nacional de Cafeteros,175,organizacion,#N/A,191
Feriva,176,organizacion,#N/A,192
Ferretería Electra,177,organizacion,#N/A,193
Ferrocarriles Nacionales,178,organizacion,#N/A,194
FES,179,organizacion,#N/A,195
First National City Bank,183,organizacion,#N/A,196
Focus- analésico,184,organizacion,#N/A,197
Fondo Cubano de Bienes Culturales,185,organizacion,#N/A,198
Fondo Mixto,186,organizacion,#N/A,199
Fondo Mixto para la promoción de la Cultura y las Artes,187,organizacion,#N/A,200
Fondo Mixto para la Promoción de la Cultura y las Artes del Valle del Cauca,188,organizacion,#N/A,201
Fondo Mixto para la promoción de la Cultura y las Artesde San Andrés y Providencia,189,organizacion,#N/A,202
Foto-Estudio,190,organizacion,#N/A,203
Foto-Museo de Bogotá,191,organizacion,#N/A,204
Fundación Arteria,192,organizacion,#N/A,205
Fundación ATMA,193,organizacion,#N/A,206
Fundación Bolivar Davivienda,194,organizacion,#N/A,207
Fundación Casa-museo Maestro Pedro Nel Gómez,195,organizacion,#N/A,208
Fundación de la fotografía y la imagen,196,organizacion,#N/A,209
Fundación Epsa,197,organizacion,#N/A,210
Fundación Éxito,198,organizacion,#N/A,211
Fundación Función Visible,199,organizacion,#N/A,212
Fundación Gilberto Alzate Avendaño,200,organizacion,#N/A,213
Fundación Harold Eder,201,organizacion,#N/A,214
Fundación MAPFRE,202,organizacion,#N/A,8
Fundación Misol,203,organizacion,#N/A,216
Fundación Orbis,204,organizacion,#N/A,217
Fundación para la Educación superior,205,organizacion,#N/A,218
Fundación Puntos de Encuentro,206,organizacion,#N/A,219
Fundación Rogelio Salmona,207,organizacion,#N/A,9
Fundación Santo Domingo,208,organizacion,#N/A,221
Galería Arte Actual (Chile),209,organizacion,#N/A,222
Galería Belarca,210,organizacion,#N/A,223
Galería Carmen Waugh (Chile),211,organizacion,#N/A,224
Galería de Arte Actual,212,organizacion,#N/A,225
Galería Deimos de Bogotá,213,organizacion,#N/A,11
Galería Diners de Bogotá,214,organizacion,#N/A,227
Galería El Museo,215,organizacion,#N/A,228
Galería El Museo de Bogotá,216,organizacion,#N/A,229
Galería El Museo de Cali,217,organizacion,#N/A,230
Galería Época (Chile),218,organizacion,#N/A,231
Galería Fernando Quintana de Bogotá,219,organizacion,#N/A,232
Galería Francia de Medellin,220,organizacion,#N/A,233
Galería Francony de París,221,organizacion,#N/A,234
Galería Garcés Velásquez,222,organizacion,#N/A,235
Galería Luis Pérez de Bogotá,223,organizacion,#N/A,236
Galería Siglo XX de Quito,224,organizacion,#N/A,237
Galería Tovar de Bogotá,225,organizacion,#N/A,238
Gaseosas Postobón,226,organizacion,#N/A,239
Gases de Occidente,227,organizacion,#N/A,240
General Métalica Ltda,228,organizacion,#N/A,241
General Metálicas,229,organizacion,#N/A,242
Gerencia Cultural del Valle del Cauca,230,organizacion,#N/A,243
Gobernación del departamento del Cesar,231,organizacion,#N/A,244
Gobernación del Valle del Cauca,232,organizacion,#N/A,245
Gobierno Estadounidense,233,organizacion,#N/A,246
Goodyear,234,organizacion,#N/A,247
Graphics Ltda.,235,organizacion,#N/A,248
Grupo Atlas,236,organizacion,#N/A,249
Grupo North,237,organizacion,#N/A,250
Harinera del Valle,239,organizacion,#N/A,251
Honda,240,organizacion,#N/A,252
Hotel Casa Republicana,241,organizacion,#N/A,253
Hoteles Royal,242,organizacion,#N/A,254
Ifa,243,organizacion,#N/A,255
Igenio Providencia,244,organizacion,#N/A,256
Industria de Licores del Valle,245,organizacion,#N/A,257
Ingenio Ingenio Manuelita,246,organizacion,#N/A,258
Ingenio Manuelita,247,organizacion,#N/A,259
Ingenio Mayagüez,248,organizacion,#N/A,260
Ingenio Pichichi,249,organizacion,#N/A,261
Ingenio Río Paila,250,organizacion,#N/A,262
Insituto Goethe de Bogota,251,organizacion,#N/A,263
Institut für Auslandsbeziehungen,252,organizacion,#N/A,264
Instituto Alemán de Relaciones Exteriores con el Exterior,253,organizacion,#N/A,265
Instituto Colombiano de Cultura,254,organizacion,#N/A,266
Instituto Colombiano de Seguros Sociales,255,organizacion,#N/A,267
Instituto de Crédito Territorial,256,organizacion,#N/A,268
Instituto de Cultura Puertorriqueño,257,organizacion,#N/A,269
Instituto de Relaciones Culturales Colombo-Israelí,258,organizacion,#N/A,270
Instituto de Relaciones Exteriores de Alemania,259,organizacion,#N/A,271
Instituto Departamental de Bellas Artes,260,organizacion,#N/A,272
Instituto Distrital de Cultura y Turismo de Bogotá D.C.,261,organizacion,#N/A,273
Instituto Goethe,262,organizacion,#N/A,274
Instituto Goethe de Bogotá,263,organizacion,#N/A,275
Instituto Nacional de Bellas Artes de México,264,organizacion,#N/A,276
Instituto Nacional de Cultura y Bellas Artes,265,organizacion,#N/A,277
Instituto Popular de Cultura,266,organizacion,#N/A,278
Instituto Tamarind de EE.UU.,267,organizacion,#N/A,13
Internacional Association for Hospice and Palliative care,268,organizacion,#N/A,280
Internacional de Ediciones,269,organizacion,#N/A,281
Intituto Smithsonian de EE.UU,270,organizacion,#N/A,282
Inversiones Urdinola,271,organizacion,#N/A,283
Inversiones Xicalina,272,organizacion,#N/A,284
Johnnie Walker,274,organizacion,#N/A,285
KLM,276,organizacion,#N/A,286
Kool,277,organizacion,#N/A,287
La 14,278,organizacion,#N/A,288
La Cabaña,279,organizacion,#N/A,289
La Galería de la Oficina,280,organizacion,#N/A,290
La Garantía,281,organizacion,#N/A,291
La Sucursal.clo,282,organizacion,#N/A,292
Laboratorio Profesional,284,organizacion,#N/A,293
Laboratorios Carlo Erba,285,organizacion,#N/A,294
Laboratorios JGB,286,organizacion,#N/A,295
Laboratorios Lafrancol,287,organizacion,#N/A,296
Laboratorios Recamier,288,organizacion,#N/A,297
Ladeco,289,organizacion,#N/A,298
Lago y Sáenz,290,organizacion,#N/A,299
Las Delicias de Will's,291,organizacion,#N/A,300
Lomitos al Carbón,292,organizacion,#N/A,301
Lugar a Dudas,293,organizacion,#N/A,302
M.F. Publicidad,294,organizacion,#N/A,303
Mairie de Paris,295,organizacion,#N/A,304
Marañón,296,organizacion,#N/A,305
Más arte más acción,299,organizacion,#N/A,306
Ministerio de Asuntos Exteriores de España,300,organizacion,#N/A,307
Ministerio de Cultura,301,organizacion,#N/A,308
Ministerio de Cultura; Dirección de cultura del municipio de Cali,302,organizacion,#N/A,309
Ministerio de Relaciones Exteriores,303,organizacion,#N/A,310
Ministerio de Relaciones Exteriores de Argentina,304,organizacion,#N/A,311
Ministerio de Relaciones Exteriores del Brasil,305,organizacion,#N/A,312
Misión Colombiana ante las Naciones Unidas,306,organizacion,#N/A,313
Molinos Dagua,307,organizacion,#N/A,314
Museo Arqueológico La Merced,309,organizacion,#N/A,315
Museo Casa-estudio de Diego Rivera y Frida Khalo,310,organizacion,#N/A,316
Museo concertado,311,organizacion,#N/A,317
Museo de Antioquia,312,organizacion,#N/A,318
Museo de Arte de Caldas,313,organizacion,#N/A,319
Museo de arte de Pereira,314,organizacion,#N/A,320
Museo de Arte de Pereira,315,organizacion,#N/A,320
Museo de arte del Tólima,316,organizacion,#N/A,322
Museo de Arte Erótico Americano,317,organizacion,#N/A,323
Museo de Arte Erótico de Bogotá,318,organizacion,#N/A,324
Museo de Arte Moderno de Bogota,319,organizacion,#N/A,325
Museo de Arte Moderno de Cartagena,320,organizacion,#N/A,326
Museo de Arte Moderno de Medellín,321,organizacion,#N/A,327
Museo de Arte Moderno de Nueva York,322,organizacion,#N/A,328
Museo de Arte Moderno de Pereira,323,organizacion,#N/A,329
Museo de arte moderno de Pereira,324,organizacion,#N/A,329
Museo de Arte Moderno La Tertulia,325,organizacion,#N/A,331
Museo La Tertulia,326,organizacion,#N/A,332
Museo Nacional de Colombia,327,organizacion,#N/A,18
Museo Rayo,328,organizacion,#N/A,334
Nikos,329,organizacion,#N/A,335
Noralba de Morales,330,organizacion,#N/A,336
Oficina de Turismo del Valle del Cauca,332,organizacion,#N/A,338
OP Gráficas,333,organizacion,#N/A,339
OP gráficas ltda.,334,organizacion,#N/A,340
Pagnamenta,336,organizacion,#N/A,341
Panamerican World Airways,337,organizacion,#N/A,342
Panturismo,338,organizacion,#N/A,343
Parque Industria Cultural,339,organizacion,#N/A,344
Parquesoft,340,organizacion,#N/A,345
Periódico El Pueblo,341,organizacion,#N/A,346
Pintuco,342,organizacion,#N/A,347
Pisa,343,organizacion,#N/A,348
Plaza de Toros de Cali,344,organizacion,#N/A,349
Poker,345,organizacion,#N/A,350
Pontificia Universidad Javeriana,346,organizacion,#N/A,351
Presidencia de la República de Colombia,347,organizacion,#N/A,352
Pro-Helevetia de Suiza,348,organizacion,#N/A,353
Proartes,349,organizacion,#N/A,354
Proimágenes Colombia,350,organizacion,#N/A,355
Propal,351,organizacion,#N/A,356
Propal S.A.,352,organizacion,#N/A,19
Propersa,353,organizacion,#N/A,358
Pueblito Valluno,354,organizacion,#N/A,359
Quaker,355,organizacion,#N/A,360
Regional Valle de la Sociedad Colombiana de Arquitectos,356,organizacion,#N/A,361
Ron Premium,358,organizacion,#N/A,363
Sanamed Duo,361,organizacion,#N/A,366
Santiago Eder,362,organizacion,#N/A,367
Seccional Cali de la Sociedad Colombiana de Arquitectos,363,organizacion,#N/A,368
Seccionales Bogotá y Cundinamarca de la Sociedad Colombiana de Arquitectos,364,organizacion,#N/A,369
Secretaría de Cultura de Buenos Aires,365,organizacion,#N/A,370
Secretaría de Cultura y Turismo de Cali,366,organizacion,#N/A,371
Secretaría de Cultura y Turismo del Valle del Cauca,367,organizacion,#N/A,372
Secretaría de Educación de Cali,368,organizacion,#N/A,373
Secretaría de Educación del Valle del Cauca,369,organizacion,#N/A,374
SENA,370,organizacion,#N/A,375
Sidoc,371,organizacion,#N/A,376
Silva Ltda,372,organizacion,#N/A,377
Simón Parrilla,373,organizacion,#N/A,378
Sociedad Colombiana de Arquitectos,374,organizacion,#N/A,379
Sociedad Económica de Amigos El País,375,organizacion,#N/A,380
Sociedad Portuaria Regional de Buenaventura,376,organizacion,#N/A,381
Sura,380,organizacion,#N/A,382
Suramericana,381,organizacion,#N/A,383
Susana de Lima,382,organizacion,#N/A,384
Teatro Jorge Isaacs,383,organizacion,#N/A,385
Telepacífico,384,organizacion,#N/A,386
Telesat,385,organizacion,#N/A,387
Textiles El Cedro,386,organizacion,#N/A,388
Tiempo de amor y erotismo 2011,388,organizacion,#N/A,389
Titan Intercontinental,389,organizacion,#N/A,390
Toot,390,organizacion,#N/A,391
Tribeca Film Institute,391,organizacion,#N/A,392
trilogía,392,organizacion,#N/A,393
TV5MONDE,393,organizacion,#N/A,394
Ultratex,394,organizacion,#N/A,395
