id_expo,expo_order,nombre_expo,fecha_ini,fecha_fin,duracion_dias,nombre_espacio,descripcion_expo,tipo_participacion,rol_expo,nombre_registro_agente,id_persona,nombres_persona,apellidos_persona,seudonimo_persona,otros_nombres,ano_agente_inicia,ano_agente_fin,sexo,nacionalidad_agente,pais_nacimiento,ciudad_nacimiento,obra_en_coleccion_MTL,tipo_agente,id_organizaciones
13,13,Carlos Correa,1957-03-01,1900-01-01,NA,Casona San Antonio,NA,individual,artista,Carlos Correa,621,Carlos,Correa,NA,NA,NA,NA,NA,Colombia,NA,NA,1,persona,NA
13,13,Carlos Correa,1957-03-01,1900-01-01,NA,Casona San Antonio,NA,individual,presentador,Néstor Sanclemente,3260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
17,14,Exposición de Mireya Zawadzky,1957-04-01,1900-01-01,NA,Casona San Antonio,NA,individual,artista,Mireya Zawadzki,1094,Mireya,Zawadzki,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
17,14,Exposición de Mireya Zawadzky,1957-04-01,1900-01-01,NA,Casona San Antonio,NA,individual,presentador,Carlos Garcés Córdoba,3263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
14,15,Pintura al Óleo del artista español José María Vidal,1957-04-06,1900-01-01,NA,Casona San Antonio,NA,individual,artista,José María Vidal,2366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
14,15,Pintura al Óleo del artista español José María Vidal,1957-04-06,1900-01-01,NA,Casona San Antonio,NA,individual,presentador,José María Capdevila,3261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
15,16,Exposición de vitrales de Mona Mondineu,1957-06-14,1900-01-01,NA,Casona San Antonio,NA,individual,artista,Mona Mondineu,1089,Mona,Mondineu,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
15,16,Exposición de vitrales de Mona Mondineu,1957-06-14,1900-01-01,NA,Casona San Antonio,NA,individual,presentador,Óscar Gerardo Ramos,3262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
16,17,Jornadas de Mayo,1957-07-15,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,Lucy Tejada,17,Lucy,Tejada,NA,NA,1920,2011,F,Colombia,Colombia,Pereira,14,persona,NA
16,17,Jornadas de Mayo,1957-07-15,1900-01-01,NA,Casona San Antonio,NA,colectiva,artista,Mireya Zawadzki,1094,Mireya,Zawadzki,NA,NA,NA,NA,NA,NA,NA,NA,0,persona,NA
