"","agente","rol"
"333","Bob Natalini","artista"
"334","Ruth Nivola","artista"
"335","Brigid O´Hanrahan","artista"
"336","Candace Loheed","artista"
"337","Gene Pijanowski","artista"
"338","Hiroko Stato Pijanowski","artista"
"339","Boo Poulin","artista"
"340","Robin Quigley","artista"
"341","Debra Rapoport","artista"
"342","Irene Redd","artista"
"343","Ellen Reiben","artista"
"344","Ivy Ross","artista"
"345","Mary Ann Scherr","artista"
"346","Sydney Scherr","artista"
"347","Marjorie Schick","artista"
"348","Joyce Scott","artista"
"349","Sabara Segal","artista"
"350","Julie Shaw","artista"
"351","Helen Shirk","artista"
"352","Ramona Solberg","artista"
"353","Eric Hilton","artista"
"354","David Dowler","artista"
"355","Susan Tamulevich","artista"
"356","Alan Burton Thompson","artista"
"357","David Tisdale","artista"
"358","David Urso","artista"
"359","Andrée Van Nuys","artista"
"360","Joke Van Ommen","artista"
"361","Katherine Wesphal","artista"
"362","Fred Woell","artista"
"363","Kay Yee","artista"
"364","Sandra Parmer Zilker","artista"
"365","Karen Zorich","artista"
"366","Débora Arango","artista"
"367","Alicia Viteri","artista"
"368","Gerardo Aragón","artista"
"369","Mario Gordillo","artista"
"370","Consuelo Lago","artista"
"371","Enrique Sánchez","artista"
"372","Guillermo Wiedemann","artista"
"373","Andrés de Santa María","artista"
"374","Darío Jiménez","artista"
"375","Armando Morales","artista"
"376","José Gamarra","artista"
"377","Antonio Seguí","artista"
"378","Marta Minujín","artista"
"379","Daniel Senise","artista"
"380","Jesús Rafael Soto","artista"
"381","Olga de Amaral","artista"
"382","Feliza Bursztyn","artista"
"383","Édgar Negret","artista"
"384","Bernardo Salcedo","artista"
"385","Diego Arango","artista"
"386","Mario Ossaba","artista"
"387","Vivian Monsalve","artista"
"388","Ana Mercedes Hoyos","artista"
"389","Luis Caballero","artista"
"390","Efraim Martínez","artista"
"391","Hans Blohm","artista"
"392","Jan Bartelsman","artista"
"393","José Balmes","artista"
"394","Gracia Barrios","artista"
"395","Sammy Benmayor","artista"
"396","Roser Bru","artista"
"397","Eugenio Dittborn","artista"
"398","Patricia Israel","artista"
"399","Carlos Maturana","artista"
"400","Guillermo Núñez","artista"
"401","Rodolfo Opazo","artista"
"402","Benito Rojo","artista"
"403","Hernando Hoyos","artista"
"404","Álvaro Barrios","curador-artista"
"405","Herman Braun-Vega","artista"
"406","Chuck Close","artista"
"407","Hernán Díaz","artista"
"408","Fernell Franco","artista"
"409","Gómez Pulido","artista"
"410","Mónika Herrán","artista"
"411","Karen Lamassonne","artista"
"412","Alberto Lenis Burckhardt","artista"
"413","Arnulfo Luna","artista"
"414","Otto Moll González","artista"
"415","Refel Moure","artista"
"416","Silvia Patiño","artista"
"417","Johnny Rasmussen","artista"
"418","Melitón Rodríguez","artista"
"419","Mercedes Sebastián","artista"
"420","Fabio Serrano","artista"
"421","Carlos Collazo","artista"
"422","Jaime Romano","artista"
"423","Jaime Suárez","artista"
"424","Carlos Duque","artista"
"425","Danilo Dueñas","artista"
"426","Luis Fernando Roldán","artista"
"427","Carlos Salas Silva","artista"
"428","Santiago Uribe Holguín","artista"
"429","Luis Fernando Zapata","artista"
"430","Leo Matiz","artista"
"431","Leopoldo Richter","artista"
"432","Beatriz Ángel","artista"
"433","María Teresa Vieco","artista"
"434","Rafael Echeverri","artista"
"435","Consuelo Gómez","artista"
"436","Freddy Barbosa","artista"
"437","Sergio Bartelsman","artista"
"438","Miky Calero","artista"
"439","Adalberto  Ceballos","artista"
"440","Luis E. Cruz","artista"
"441","Frederic Chastro","artista"
"442","Jorge Echeverry","artista"
"443","Guillermo Franco","artista"
"444","Rosemarie Gleiser","artista"
"445","Jorge Hernan González","artista"
"446","Alvaro Hurtado","artista"
"447","Miguel Antonio Lozano","artista"
"448","Michael Meyer","artista"
"449","Iván Morales","artista"
"450","Hernando Ordóñez","artista"
"451","Carlos Pineda","artista"
"452","Clemencia Poveda","artista"
"453","Ángela María Ramirez","artista"
"454","Harold Orlando Rodriguez","artista"
"455","Víctor Rodriguez","artista"
"456","Fernando Salazar","artista"
"457","Gilma Suárez","artista"
"458","Catálina Toro","artista"
"459","Héctor Wiesner García","artista"
"460","Omaira Abadía","artista"
"461","Memo Bejarano","artista"
"462","Nicholás Buenaventura","artista"
"463","Óscar Campo","artista"
"464","Eduardo Carvajal","artista"
"465","Javier Humberto Cruz Góngora","artista"
"466","Guilles Charalambos","artista"
"467","José Antonio Dorado","artista"
"468","Victor Gaviria","artista"
"469","Diego León Hoyos","artista"
"470","Luis Fernando López","artista"
"471","Manuel Guerrero","artista"
"472","Diego Morales","artista"
"473","Isabel Moreno","artista"
"474","Oscar Salzar","artista"
"475","Cristina Llano","artista"
"476","Constanza Aguirre","artista"
"477","Roberto Páramo","artista"
"478","Diego Mazuera","artista"
"479","Jorge Álvaro","artista"
"480","Elizabeth Aro","artista"
"481","Eduardo Audivert","artista"
"482","Magdalena Beccarini","artista"
"483","Luis F. Benedit","artista"
"484","Ernesto Bertani","artista"
"485","Remo Bianchedi","artista"
"486","Mildred Burton","artista"
"487","Alicia Carletti","artista"
"488","Américo Castilla","artista"
"489","Guillermo Conte","artista"
"490","Jorge Demirjian","artista"
"491","Nora Dobarro","artista"
"492","Hernán Dompé","artista"
"493","Diana Dowek","artista"
"494","Ana Eckell","artista"
"495","Fernando Fazzolari","artista"
"496","María Finocchetti","artista"
"497","Eduardo Hoffmann","artista"
"498","Juan Lecuona","artista"
"499","Gustavo López Armentía","artista"
"500","Matilde Marín","artista"
"501","Eduardo Medici","artista"
"502","Miguel Melcon","artista"
"503","Esvaldo Monzo","artista"
"504","Luis F. Noé","artista"
"505","Pablo Obelar","artista"
"506","Margarita Paksa","artista"
"507","Yanz Poli","artista"
"508","Alejandro Puente","artista"
"509","Alfredo Prior","artista"
"510","Armando Rearte","artista"
"511","Juan Pablo Renzi","artista"
"512","Silvia Rivas","artista"
"513","Marino Santa María","artista"
