id_expo,expo_order,nombre_expo,fecha_ini,fecha_fin,duracion_dias,nombre_espacio,descripcion_expo,tipo_participacion,nombre_expo_order_ano,ano,a1,a2,rol_a1,rol_a2
74,74,Jan Bartelsman,1963-04-25,1900-01-01,NA,Casona San Antonio,NA,individual,74-Jan Bartelsman-1963,1963,NA,NA,NA,NA
75,75,Herrán - Pinturas,1963-05-24,1963-06-02,9,Casona San Antonio,NA,individual,75-Herrán - Pinturas-1963,1963,NA,NA,NA,NA
76,76,Exposición-homenaje de Gerardo Negret 1963,1963-10-25,1900-01-01,NA,Casona San Antonio,NA,individual,76-Exposición-homenaje de Gerardo Negret 1963-1963,1963,NA,NA,NA,NA
77,77,XV Salón de Artistas Colombianos,1963-12-01,1900-01-01,NA,Casona San Antonio,NA,colectiva,77-XV Salón de Artistas Colombianos-1963,1963,NA,NA,NA,NA
78,78,Pintura Moderna Ecuatoriana,1964-02-07,1900-01-01,NA,Casona San Antonio,NA,colectiva,78-Pintura Moderna Ecuatoriana-1964,1964,NA,NA,NA,NA
79,79,Exposición comparativa de afiches y estadísticas,1964-02-24,1900-01-01,NA,Casona San Antonio,NA,colectiva,79-Exposición comparativa de afiches y estadísticas-1964,1964,NA,NA,NA,NA
80,80,Génesis,1964-02-26,1900-01-01,NA,Casona San Antonio,NA,individual,80-Génesis-1964,1964,NA,NA,NA,NA
81,81,Exposición Lemaitre sobre el tema del caballero,1964-03-11,1900-01-01,NA,Casona San Antonio,NA,colectiva,81-Exposición Lemaitre sobre el tema del caballero-1964,1964,NA,NA,NA,NA
82,82,Alcántara,1964-04-08,1900-01-01,NA,Casona San Antonio,NA,individual,82-Alcántara-1964,1964,NA,NA,NA,NA
83,83,José Mina,1964-04-24,1900-01-01,NA,Casona San Antonio,NA,individual,83-José Mina-1964,1964,NA,NA,NA,NA
84,84,IV Festival Nacional de Arte,1964-07-07,1900-01-01,NA,Casona San Antonio,NA,colectiva,84-IV Festival Nacional de Arte-1964,1964,NA,NA,NA,NA
85,85,Óscar Pantoja,1964-07-31,1900-01-01,NA,Casona San Antonio,NA,individual,85-Óscar Pantoja-1964,1964,NA,NA,NA,NA
86,86,Nirma Zárate,1964-10-15,1900-01-01,NA,Casona San Antonio,NA,individual,86-Nirma Zárate-1964,1964,NA,NA,NA,NA
