"","source","target","id_expo","nombre_expo_order_ano","ano","fecha_ini"
"84","Ed Love","John Thomas Biggers",211,"213-Migraciones-1976",1976,1976-12-01
"85","Ed Love","Camille Billops",211,"213-Migraciones-1976",1976,1976-12-01
"86","Ed Love","Robert Blackburn",211,"213-Migraciones-1976",1976,1976-12-01
"87","Ed Love","Caroline M Byard",211,"213-Migraciones-1976",1976,1976-12-01
"88","Ed Love","Eldzier Cortor",211,"213-Migraciones-1976",1976,1976-12-01
"89","Ed Love","Juanit Cribb",211,"213-Migraciones-1976",1976,1976-12-01
"90","Ed Love","Allan Edmunds",211,"213-Migraciones-1976",1976,1976-12-01
"91","Ed Love","David Hammons",211,"213-Migraciones-1976",1976,1976-12-01
"92","Ed Love","Bill Harris",211,"213-Migraciones-1976",1976,1976-12-01
"93","Ed Love","Leo NathanielHicks",211,"213-Migraciones-1976",1976,1976-12-01
"94","Ed Love","Barbara Jones",211,"213-Migraciones-1976",1976,1976-12-01
"95","Ed Love","Wiston Kennedy",211,"213-Migraciones-1976",1976,1976-12-01
"96","Ed Love","Talita Long",211,"213-Migraciones-1976",1976,1976-12-01
"97","Ed Love","Percy Martin",211,"213-Migraciones-1976",1976,1976-12-01
"98","Ed Love","Valerie Maynard",211,"213-Migraciones-1976",1976,1976-12-01
"99","Ed Love","Lloyd McNeill",211,"213-Migraciones-1976",1976,1976-12-01
"100","Ed Love","Otto Neals",211,"213-Migraciones-1976",1976,1976-12-01
"101","Ed Love","Nefertiti",211,"213-Migraciones-1976",1976,1976-12-01
"102","Ed Love","James E. Newton",211,"213-Migraciones-1976",1976,1976-12-01
"103","Ed Love","Stephanie E. Pogue",211,"213-Migraciones-1976",1976,1976-12-01
"104","Ed Love","Joseph Ross Jr.",211,"213-Migraciones-1976",1976,1976-12-01
"105","Ed Love","John Scott",211,"213-Migraciones-1976",1976,1976-12-01
"106","Ed Love","George Smith",211,"213-Migraciones-1976",1976,1976-12-01
"107","Ed Love","Lou Stovall",211,"213-Migraciones-1976",1976,1976-12-01
"108","Ed Love","James Wells",211,"213-Migraciones-1976",1976,1976-12-01
"109","Ed Love","Charles White",211,"213-Migraciones-1976",1976,1976-12-01
"110","Ed Love","Wendy Wilson",211,"213-Migraciones-1976",1976,1976-12-01
"111","Winston Kennedy","John Thomas Biggers",211,"213-Migraciones-1976",1976,1976-12-01
"112","Winston Kennedy","Camille Billops",211,"213-Migraciones-1976",1976,1976-12-01
"113","Winston Kennedy","Robert Blackburn",211,"213-Migraciones-1976",1976,1976-12-01
"114","Winston Kennedy","Caroline M Byard",211,"213-Migraciones-1976",1976,1976-12-01
"115","Winston Kennedy","Eldzier Cortor",211,"213-Migraciones-1976",1976,1976-12-01
"116","Winston Kennedy","Juanit Cribb",211,"213-Migraciones-1976",1976,1976-12-01
"117","Winston Kennedy","Allan Edmunds",211,"213-Migraciones-1976",1976,1976-12-01
"118","Winston Kennedy","David Hammons",211,"213-Migraciones-1976",1976,1976-12-01
"119","Winston Kennedy","Bill Harris",211,"213-Migraciones-1976",1976,1976-12-01
"120","Winston Kennedy","Leo NathanielHicks",211,"213-Migraciones-1976",1976,1976-12-01
"121","Winston Kennedy","Barbara Jones",211,"213-Migraciones-1976",1976,1976-12-01
"122","Winston Kennedy","Wiston Kennedy",211,"213-Migraciones-1976",1976,1976-12-01
"123","Winston Kennedy","Talita Long",211,"213-Migraciones-1976",1976,1976-12-01
"124","Winston Kennedy","Percy Martin",211,"213-Migraciones-1976",1976,1976-12-01
"125","Winston Kennedy","Valerie Maynard",211,"213-Migraciones-1976",1976,1976-12-01
"126","Winston Kennedy","Lloyd McNeill",211,"213-Migraciones-1976",1976,1976-12-01
"127","Winston Kennedy","Otto Neals",211,"213-Migraciones-1976",1976,1976-12-01
"128","Winston Kennedy","Nefertiti",211,"213-Migraciones-1976",1976,1976-12-01
"129","Winston Kennedy","James E. Newton",211,"213-Migraciones-1976",1976,1976-12-01
"130","Winston Kennedy","Stephanie E. Pogue",211,"213-Migraciones-1976",1976,1976-12-01
"131","Winston Kennedy","Joseph Ross Jr.",211,"213-Migraciones-1976",1976,1976-12-01
"132","Winston Kennedy","John Scott",211,"213-Migraciones-1976",1976,1976-12-01
"133","Winston Kennedy","George Smith",211,"213-Migraciones-1976",1976,1976-12-01
"134","Winston Kennedy","Lou Stovall",211,"213-Migraciones-1976",1976,1976-12-01
"135","Winston Kennedy","James Wells",211,"213-Migraciones-1976",1976,1976-12-01
"136","Winston Kennedy","Charles White",211,"213-Migraciones-1976",1976,1976-12-01
"137","Winston Kennedy","Wendy Wilson",211,"213-Migraciones-1976",1976,1976-12-01
"138","George Smiths","John Thomas Biggers",211,"213-Migraciones-1976",1976,1976-12-01
"139","George Smiths","Camille Billops",211,"213-Migraciones-1976",1976,1976-12-01
"140","George Smiths","Robert Blackburn",211,"213-Migraciones-1976",1976,1976-12-01
"141","George Smiths","Caroline M Byard",211,"213-Migraciones-1976",1976,1976-12-01
"142","George Smiths","Eldzier Cortor",211,"213-Migraciones-1976",1976,1976-12-01
"143","George Smiths","Juanit Cribb",211,"213-Migraciones-1976",1976,1976-12-01
"144","George Smiths","Allan Edmunds",211,"213-Migraciones-1976",1976,1976-12-01
"145","George Smiths","David Hammons",211,"213-Migraciones-1976",1976,1976-12-01
"146","George Smiths","Bill Harris",211,"213-Migraciones-1976",1976,1976-12-01
"147","George Smiths","Leo NathanielHicks",211,"213-Migraciones-1976",1976,1976-12-01
"148","George Smiths","Barbara Jones",211,"213-Migraciones-1976",1976,1976-12-01
"149","George Smiths","Wiston Kennedy",211,"213-Migraciones-1976",1976,1976-12-01
"150","George Smiths","Talita Long",211,"213-Migraciones-1976",1976,1976-12-01
"151","George Smiths","Percy Martin",211,"213-Migraciones-1976",1976,1976-12-01
"152","George Smiths","Valerie Maynard",211,"213-Migraciones-1976",1976,1976-12-01
"153","George Smiths","Lloyd McNeill",211,"213-Migraciones-1976",1976,1976-12-01
"154","George Smiths","Otto Neals",211,"213-Migraciones-1976",1976,1976-12-01
"155","George Smiths","Nefertiti",211,"213-Migraciones-1976",1976,1976-12-01
"156","George Smiths","James E. Newton",211,"213-Migraciones-1976",1976,1976-12-01
"157","George Smiths","Stephanie E. Pogue",211,"213-Migraciones-1976",1976,1976-12-01
"158","George Smiths","Joseph Ross Jr.",211,"213-Migraciones-1976",1976,1976-12-01
"159","George Smiths","John Scott",211,"213-Migraciones-1976",1976,1976-12-01
"160","George Smiths","George Smith",211,"213-Migraciones-1976",1976,1976-12-01
"161","George Smiths","Lou Stovall",211,"213-Migraciones-1976",1976,1976-12-01
"162","George Smiths","James Wells",211,"213-Migraciones-1976",1976,1976-12-01
"163","George Smiths","Charles White",211,"213-Migraciones-1976",1976,1976-12-01
"164","George Smiths","Wendy Wilson",211,"213-Migraciones-1976",1976,1976-12-01
"165","Willim Harris","John Thomas Biggers",211,"213-Migraciones-1976",1976,1976-12-01
"166","Willim Harris","Camille Billops",211,"213-Migraciones-1976",1976,1976-12-01
"167","Willim Harris","Robert Blackburn",211,"213-Migraciones-1976",1976,1976-12-01
"168","Willim Harris","Caroline M Byard",211,"213-Migraciones-1976",1976,1976-12-01
"169","Willim Harris","Eldzier Cortor",211,"213-Migraciones-1976",1976,1976-12-01
"170","Willim Harris","Juanit Cribb",211,"213-Migraciones-1976",1976,1976-12-01
"171","Willim Harris","Allan Edmunds",211,"213-Migraciones-1976",1976,1976-12-01
"172","Willim Harris","David Hammons",211,"213-Migraciones-1976",1976,1976-12-01
"173","Willim Harris","Bill Harris",211,"213-Migraciones-1976",1976,1976-12-01
"174","Willim Harris","Leo NathanielHicks",211,"213-Migraciones-1976",1976,1976-12-01
"175","Willim Harris","Barbara Jones",211,"213-Migraciones-1976",1976,1976-12-01
"176","Willim Harris","Wiston Kennedy",211,"213-Migraciones-1976",1976,1976-12-01
"177","Willim Harris","Talita Long",211,"213-Migraciones-1976",1976,1976-12-01
"178","Willim Harris","Percy Martin",211,"213-Migraciones-1976",1976,1976-12-01
"179","Willim Harris","Valerie Maynard",211,"213-Migraciones-1976",1976,1976-12-01
"180","Willim Harris","Lloyd McNeill",211,"213-Migraciones-1976",1976,1976-12-01
"181","Willim Harris","Otto Neals",211,"213-Migraciones-1976",1976,1976-12-01
"182","Willim Harris","Nefertiti",211,"213-Migraciones-1976",1976,1976-12-01
"183","Willim Harris","James E. Newton",211,"213-Migraciones-1976",1976,1976-12-01
"184","Willim Harris","Stephanie E. Pogue",211,"213-Migraciones-1976",1976,1976-12-01
"185","Willim Harris","Joseph Ross Jr.",211,"213-Migraciones-1976",1976,1976-12-01
"186","Willim Harris","John Scott",211,"213-Migraciones-1976",1976,1976-12-01
"187","Willim Harris","George Smith",211,"213-Migraciones-1976",1976,1976-12-01
"188","Willim Harris","Lou Stovall",211,"213-Migraciones-1976",1976,1976-12-01
"189","Willim Harris","James Wells",211,"213-Migraciones-1976",1976,1976-12-01
"190","Willim Harris","Charles White",211,"213-Migraciones-1976",1976,1976-12-01
"191","Willim Harris","Wendy Wilson",211,"213-Migraciones-1976",1976,1976-12-01
"192","Acklyn Lynch","John Thomas Biggers",211,"213-Migraciones-1976",1976,1976-12-01
"193","Acklyn Lynch","Camille Billops",211,"213-Migraciones-1976",1976,1976-12-01
"194","Acklyn Lynch","Robert Blackburn",211,"213-Migraciones-1976",1976,1976-12-01
"195","Acklyn Lynch","Caroline M Byard",211,"213-Migraciones-1976",1976,1976-12-01
"196","Acklyn Lynch","Eldzier Cortor",211,"213-Migraciones-1976",1976,1976-12-01
"197","Acklyn Lynch","Juanit Cribb",211,"213-Migraciones-1976",1976,1976-12-01
"198","Acklyn Lynch","Allan Edmunds",211,"213-Migraciones-1976",1976,1976-12-01
"199","Acklyn Lynch","David Hammons",211,"213-Migraciones-1976",1976,1976-12-01
"200","Acklyn Lynch","Bill Harris",211,"213-Migraciones-1976",1976,1976-12-01
"201","Acklyn Lynch","Leo NathanielHicks",211,"213-Migraciones-1976",1976,1976-12-01
"202","Acklyn Lynch","Barbara Jones",211,"213-Migraciones-1976",1976,1976-12-01
"203","Acklyn Lynch","Wiston Kennedy",211,"213-Migraciones-1976",1976,1976-12-01
"204","Acklyn Lynch","Talita Long",211,"213-Migraciones-1976",1976,1976-12-01
"205","Acklyn Lynch","Percy Martin",211,"213-Migraciones-1976",1976,1976-12-01
"206","Acklyn Lynch","Valerie Maynard",211,"213-Migraciones-1976",1976,1976-12-01
"207","Acklyn Lynch","Lloyd McNeill",211,"213-Migraciones-1976",1976,1976-12-01
"208","Acklyn Lynch","Otto Neals",211,"213-Migraciones-1976",1976,1976-12-01
"209","Acklyn Lynch","Nefertiti",211,"213-Migraciones-1976",1976,1976-12-01
"210","Acklyn Lynch","James E. Newton",211,"213-Migraciones-1976",1976,1976-12-01
"211","Acklyn Lynch","Stephanie E. Pogue",211,"213-Migraciones-1976",1976,1976-12-01
"212","Acklyn Lynch","Joseph Ross Jr.",211,"213-Migraciones-1976",1976,1976-12-01
"213","Acklyn Lynch","John Scott",211,"213-Migraciones-1976",1976,1976-12-01
"214","Acklyn Lynch","George Smith",211,"213-Migraciones-1976",1976,1976-12-01
"215","Acklyn Lynch","Lou Stovall",211,"213-Migraciones-1976",1976,1976-12-01
"216","Acklyn Lynch","James Wells",211,"213-Migraciones-1976",1976,1976-12-01
"217","Acklyn Lynch","Charles White",211,"213-Migraciones-1976",1976,1976-12-01
"218","Acklyn Lynch","Wendy Wilson",211,"213-Migraciones-1976",1976,1976-12-01
"219","Pierre Keller","John Michael Armleder",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04
"220","Pierre Keller","Anton Bruhin",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04
"221","Pierre Keller","Luciano Castelli",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04
"222","Pierre Keller","Bignia Corradini",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04
"223","Pierre Keller","Martin Disler",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04
"224","Pierre Keller","Markus Dulk",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04
"225","Pierre Keller","Maríanne Eigenheer",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04
"226","Pierre Keller","Helmut Federle",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04
"227","Pierre Keller","Pierre Keller",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04
"228","Pierre Keller","Heiner Kielholz",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04
"229","Pierre Keller","Lis Kocher",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04
"230","Pierre Keller","Urs Luthi",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04
"231","Pierre Keller","Chasper Otto Melcher",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04
"232","Pierre Keller","Markus Raetz",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04
"233","Pierre Keller","Claude Sandoz",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04
"234","Pierre Keller","Alex Silber",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04
"235","Pierre Keller","Urs Stoss",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04
"236","Pierre Keller","Hanna Villiger",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04
"237","Pierre Keller","Rolf Winnewiser",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04
"238","Pierre Keller","René Zäch",213,"215-20 Artistas Jóvenes Suizos-1977",1977,1977-02-04
"239","Miguel González","Édgar Álvarez",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"240","Miguel González","David Becker",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"241","Miguel González","Juan Fresan",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"242","Miguel González","Susy Iglicki",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"243","Miguel González","Lucy Tejada",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"244","Miguel González","Mario Toral",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"245","Franz Bader","Édgar Álvarez",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"246","Franz Bader","David Becker",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"247","Franz Bader","Juan Fresan",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"248","Franz Bader","Susy Iglicki",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"249","Franz Bader","Lucy Tejada",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"250","Franz Bader","Mario Toral",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"251","Darío Ruiz","Édgar Álvarez",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"252","Darío Ruiz","David Becker",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"253","Darío Ruiz","Juan Fresan",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"254","Darío Ruiz","Susy Iglicki",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"255","Darío Ruiz","Lucy Tejada",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"256","Darío Ruiz","Mario Toral",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"257","Pablo Neruda","Édgar Álvarez",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"258","Pablo Neruda","David Becker",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"259","Pablo Neruda","Juan Fresan",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"260","Pablo Neruda","Susy Iglicki",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"261","Pablo Neruda","Lucy Tejada",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"262","Pablo Neruda","Mario Toral",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"263","Bengt Oldenburg","Édgar Álvarez",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"264","Bengt Oldenburg","David Becker",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"265","Bengt Oldenburg","Juan Fresan",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"266","Bengt Oldenburg","Susy Iglicki",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"267","Bengt Oldenburg","Lucy Tejada",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"268","Bengt Oldenburg","Mario Toral",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"269","Marta Traba","Édgar Álvarez",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"270","Marta Traba","David Becker",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"271","Marta Traba","Juan Fresan",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"272","Marta Traba","Susy Iglicki",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"273","Marta Traba","Lucy Tejada",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
"274","Marta Traba","Mario Toral",215,"217-Seis Artistas Premiados en la III Bienal de Artes Gráficas-1977",1977,1977-04-01
