"","source","target","id_expo","nombre_expo_order_ano","ano","fecha_ini","ano_decimal"
"80","Sergio Trujillo Jaramillo","Beatriz González",196,"198-XXV Salón Nacional de Artes Visuales-1975",1975,1975-05-13,1975.36164383562
"81","Sergio Trujillo Jaramillo","Alfredo Guerrero",196,"198-XXV Salón Nacional de Artes Visuales-1975",1975,1975-05-13,1975.36164383562
"82","Sergio Trujillo Jaramillo","Sara Modiano",196,"198-XXV Salón Nacional de Artes Visuales-1975",1975,1975-05-13,1975.36164383562
"83","Sergio Trujillo Jaramillo","Homero Aguilar",196,"198-XXV Salón Nacional de Artes Visuales-1975",1975,1975-05-13,1975.36164383562
"84","Ed Love","John Thomas Biggers",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"85","Ed Love","Camille Billops",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"86","Ed Love","Robert Blackburn",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"87","Ed Love","Caroline M Byard",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"88","Ed Love","Eldzier Cortor",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"89","Ed Love","Juanit Cribb",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"90","Ed Love","Allan Edmunds",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"91","Ed Love","David Hammons",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"92","Ed Love","Bill Harris",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"93","Ed Love","Leo NathanielHicks",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"94","Ed Love","Barbara Jones",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"95","Ed Love","Wiston Kennedy",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"96","Ed Love","Talita Long",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"97","Ed Love","Percy Martin",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"98","Ed Love","Valerie Maynard",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"99","Ed Love","Lloyd McNeill",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"100","Ed Love","Otto Neals",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"101","Ed Love","Nefertiti",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"102","Ed Love","James E. Newton",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"103","Ed Love","Stephanie E. Pogue",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"104","Ed Love","Joseph Ross Jr.",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"105","Ed Love","John Scott",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"106","Ed Love","George Smith",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"107","Ed Love","Lou Stovall",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"108","Ed Love","James Wells",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"109","Ed Love","Charles White",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"110","Ed Love","Wendy Wilson",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"111","Winston Kennedy","John Thomas Biggers",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"112","Winston Kennedy","Camille Billops",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"113","Winston Kennedy","Robert Blackburn",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"114","Winston Kennedy","Caroline M Byard",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"115","Winston Kennedy","Eldzier Cortor",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"116","Winston Kennedy","Juanit Cribb",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"117","Winston Kennedy","Allan Edmunds",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"118","Winston Kennedy","David Hammons",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"119","Winston Kennedy","Bill Harris",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"120","Winston Kennedy","Leo NathanielHicks",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"121","Winston Kennedy","Barbara Jones",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"122","Winston Kennedy","Wiston Kennedy",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"123","Winston Kennedy","Talita Long",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"124","Winston Kennedy","Percy Martin",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
"125","Winston Kennedy","Valerie Maynard",211,"213-Migraciones-1976",1976,1976-12-01,1976.91530054645
